N	2gram	Bakhtin_Pr_1	Problemy
1	и в	29	35
2	из подполья	10	35
3	как бы	19	31
4	и не	31	27
5	что он	8	24
6	в его	24	21
7	но в	7	19
8	не может	12	18
9	к себе	2	18
10	как и	12	18
11	себе самому	3	18
12	о себе	12	17
13	в нем	19	16
14	к другому	2	16
15	то же	14	15
16	но и	14	14
17	для него	18	14
18	может быть	24	14
19	все это	6	14
20	в сущности	5	14
21	и его	14	14
22	в этом	22	14
23	человека из	3	13
24	к нему	6	13
25	он не	5	13
26	у достоевского	16	12
27	прежде всего	7	12
28	и с	4	12
29	и к	2	12
30	в пределах	13	11
31	в то	10	11
32	не в	7	10
33	самом деле	6	10
34	же время	9	10
35	не только	15	10
36	то что	15	10
37	героя и	10	10
38	в отношении	2	9
39	самим собою	2	9
40	на самом	5	9
41	ни одного	2	9
42	я не	3	8
43	самого начала	2	8
44	так и	7	8
45	себя и	2	8
46	о мире	6	8
47	потому что	8	8
48	мы уже	2	8
49	все же	9	8
50	как мы	4	8
51	и слово	3	8
52	и для	4	8
53	слово о	7	7
54	и сам	2	7
55	себя самого	2	7
56	так же	6	7
57	а в	7	7
58	и наконец	4	7
59	точки зрения	19	7
60	творчестве достоевского	5	7
61	с ним	5	7
62	с его	9	7
63	человек из	4	7
64	вовсе не	7	7
65	еще не	5	7
66	себе и	3	7
67	для себя	2	7
68	отношению к	8	7
69	что же	4	7
70	отношении к	3	7
71	там где	10	7
72	таким образом	12	7
73	он сам	3	6
74	что в	8	6
75	в каждом	8	6
76	чужое слово	2	6
77	но это	4	6
78	и что	2	6
79	отношение к	2	6
80	в самом	10	6
81	и на	7	6
82	не знает	3	6
83	в одном	10	6
84	но не	9	6
85	по отношению	8	6
86	в плане	5	6
87	только в	10	6
88	с собою	2	5
89	в конце	6	5
90	себе самом	9	5
91	в том	8	5
92	так что	2	5
93	как к	3	5
94	и даже	2	5
95	в романах	7	5
96	он и	5	5
97	даже в	4	5
98	на него	3	5
99	как в	6	5
100	героя в	4	5
101	в себе	7	5
102	и это	5	5
103	все время	2	4
104	слово героя	7	4
105	никогда не	3	4
106	друг другу	2	4
107	романах достоевского	5	4
108	с другой	3	4
109	в мире	6	4
110	сливается с	6	4
111	но все	5	4
112	до конца	8	4
113	друг с	2	4
114	на его	2	4
115	не о	2	4
116	же и	2	4
117	всяком случае	3	4
118	рядом с	14	4
119	между тем	5	4
120	говорит он	6	4
121	нему и	2	4
122	но он	2	4
123	но как	3	4
124	его в	6	4
125	так как	6	4
126	бы в	3	4
127	человек и	2	4
128	сознания и	5	4
129	у него	5	4
130	бы уже	2	4
131	как раз	6	4
132	в них	3	4
133	по себе	8	4
134	чужого сознания	2	4
135	так чтобы	4	4
136	последнее слово	8	4
137	тот же	2	4
138	ивана карамазова	4	4
139	как другой	3	4
140	наконец в	2	4
141	в своей	8	4
142	в той	2	4
143	а не	22	4
144	и у	3	4
145	во всяком	5	4
146	тем что	4	4
147	он в	3	4
148	как будто	3	4
149	в творчестве	5	4
150	из своего	2	4
151	все его	3	4
152	же не	2	4
153	он знает	3	3
154	уже в	3	3
155	то ни	2	3
156	ибо в	2	3
157	мире достоевского	7	3
158	и от	2	3
159	его к	2	3
160	ни было	2	3
161	дело идет	5	3
162	если б	2	3
163	и тон	2	3
164	бы то	2	3
165	в целом	6	3
166	другой стороны	3	3
167	его и	2	3
168	в форме	7	3
169	и со	2	3
170	ее как	3	3
171	в одной	6	3
172	все эти	9	3
173	записок из	2	3
174	должно быть	4	3
175	это не	9	3
176	для других	2	3
177	сказать что	3	3
178	и во	2	3
179	мы должны	3	3
180	чужому сознанию	2	3
181	себя как	2	3
182	или как	5	3
183	в котором	2	3
184	не как	14	3
185	с этим	2	3
186	раз и	4	3
187	этом смысле	10	3
188	это и	5	3
189	том что	7	3
190	мы остановимся	2	3
191	время не	3	3
192	достоевского нет	3	3
193	было бы	5	3
194	самого героя	8	3
195	за пределы	7	3
196	конце концов	5	3
197	достоевского в	12	3
198	что и	4	3
199	уже не	13	3
200	другого человека	4	3
201	образа героя	2	3
202	одного сознания	9	3
203	ничего не	5	3
204	так сказать	4	2
205	на вопрос	2	2
206	ни был	2	2
207	тому что	3	2
208	с этой	2	2
209	он все	2	2
210	себя сам	2	2
211	в кругозор	6	2
212	именно потому	2	2
213	вопрос о	2	2
214	ни в	3	2
215	из его	2	2
216	в построении	4	2
217	голос самого	2	2
218	достоевский заставляет	2	2
219	в большинстве	2	2
220	при этом	2	2
221	со своим	2	2
222	например в	3	2
223	совпадает с	2	2
224	этого самосознания	2	2
225	в своем	8	2
226	что оно	2	2
227	те же	2	2
228	достоевского и	7	2
229	но эта	4	2
230	мире а	3	2
231	тому как	3	2
232	в которых	2	2
233	героя но	2	2
234	их в	4	2
235	в ней	2	2
236	для достоевского	5	2
237	в произведении	4	2
238	большинстве случаев	2	2
239	сочетания голосов	2	2
240	мысли в	2	2
241	слово в	2	2
242	нет ни	2	2
243	а как	7	2
244	всех этих	2	2
245	уже и	2	2
246	для его	3	2
247	однако в	2	2
248	обращено к	2	2
249	он есть	4	2
250	в жизни	2	2
251	его целом	6	2
252	точек зрения	3	2
253	момент его	2	2
254	последним словом	2	2
255	достоевского как	9	2
256	него нет	2	2
257	должна была	4	2
258	но именно	3	2
259	кажется что	2	2
260	бы он	2	2
261	конечно не	2	2
262	в произведениях	3	2
263	диалог в	3	2
264	одном сознании	2	2
265	о нем	9	2
266	друг друга	3	2
267	как можно	2	2
268	войти в	2	2
269	благодаря этому	2	2
270	но эти	2	2
271	бы и	4	2
272	приводит к	3	2
273	и внутренне	3	2
274	слову героя	2	2
275	эта особенность	4	2
276	на этот	2	2
277	и как	7	2
278	хотя бы	2	2
279	с точки	13	2
280	в которой	2	2
281	той же	5	2
282	можно было	2	2
283	с другими	7	2
284	подобно тому	3	2
285	сознание и	5	2
286	за ним	3	2
287	и самое	3	2
288	голоса в	2	2
289	в обычном	2	2
290	произведениях достоевского	5	2
291	словом о	2	2
