N	2gram	Tiupa_Lite_3	slovoVRo
1	и в	16	41
2	в нем	2	30
3	то есть	5	26
4	в романе	3	21
5	во всех	2	17
6	но и	14	16
7	и не	22	16
8	точки зрения	7	16
9	не только	14	16
10	а не	12	15
11	то же	9	14
12	может быть	12	14
13	не может	8	14
14	и его	6	14
15	и на	2	14
16	в то	9	14
17	в его	6	13
18	же время	7	12
19	до конца	4	12
20	как бы	8	12
21	в этом	14	12
22	так и	9	11
23	или иной	2	9
24	той или	2	9
25	себя в	7	9
26	прежде всего	3	8
27	на его	3	8
28	но в	3	8
29	как в	5	8
30	как мы	2	8
31	с точки	3	8
32	все они	2	7
33	не в	10	7
34	отношение к	2	7
35	в своей	7	7
36	все же	2	7
37	в слове	3	7
38	того же	2	6
39	это не	5	6
40	при этом	15	6
41	и даже	2	6
42	а в	5	6
43	оно не	2	6
44	только в	7	6
45	установка на	2	6
46	с другой	6	5
47	в самом	3	5
48	в основе	5	5
49	романа и	2	5
50	и к	3	5
51	он в	2	5
52	далеко не	2	5
53	одной стороны	4	4
54	одним из	4	4
55	один из	2	4
56	с ее	3	4
57	с одной	4	4
58	лишь в	5	4
59	и наконец	3	4
60	и с	2	4
61	поэзии и	2	4
62	с его	6	4
63	не как	2	4
64	как и	5	4
65	еще не	6	4
66	и потому	2	4
67	о нем	2	4
68	к предмету	2	4
69	входит в	4	4
70	другой стороны	2	4
71	и для	4	4
72	автора и	2	4
73	там где	3	4
74	все время	3	3
75	никогда не	4	3
76	к тому	6	3
77	в том	12	3
78	и сам	2	3
79	в свою	2	3
80	для него	2	3
81	из них	4	3
82	данном случае	4	3
83	именно в	5	3
84	того что	9	3
85	с ними	2	3
86	о том	6	3
87	его в	2	3
88	в первом	2	3
89	вне себя	2	3
90	в себе	6	3
91	с этой	2	3
92	по существу	4	3
93	в качестве	5	3
94	было бы	2	3
95	лишь на	2	3
96	бы и	3	3
97	в данном	4	3
98	более того	3	3
99	и ее	2	3
100	в поэзии	5	3
101	в частности	11	2
102	и одновременно	2	2
103	одного из	2	2
104	автором и	2	2
105	можно сказать	2	2
106	ни было	2	2
107	мы и	2	2
108	без другого	2	2
109	например в	3	2
110	такого рода	10	2
111	для того	2	2
112	хотя и	4	2
113	и тем	3	2
114	в целом	5	2
115	уже не	3	2
116	должно быть	4	2
117	так же	2	2
118	потому что	3	2
119	между тем	3	2
120	в одном	4	2
121	к этому	2	2
122	у нас	2	2
123	том что	8	2
124	не с	2	2
125	то в	3	2
126	но не	4	2
127	а на	2	2
128	совершенно не	3	2
129	наконец в	3	2
130	а также	4	2
131	даже в	4	2
132	с ней	2	2
133	в ее	5	2
134	как раз	2	2
135	той же	3	2
136	быть только	2	2
137	эти слова	2	2
138	в другом	6	2
139	связи с	2	2
140	ответственность за	2	2
141	здесь не	2	2
