N	2gram	Potebnia_M_4	VLabPisa
1	таким образом	24	27
2	в этом	23	26
3	и в	23	25
4	и т	7	24
5	не только	10	22
6	во сне	2	21
7	может быть	26	21
8	хотя бы	4	20
9	и не	18	19
10	не может	11	17
11	в его	5	15
12	т д	3	15
13	в процессе	3	14
14	в том	23	13
15	все это	5	12
16	с другой	2	11
17	в силу	7	11
18	не могут	2	10
19	о том	8	10
20	об этом	2	9
21	что в	17	9
22	для него	5	9
23	и др	2	9
24	но и	11	9
25	то же	14	9
26	т п	4	9
27	все эти	3	8
28	на основании	4	8
29	в своем	8	8
30	могут быть	7	8
31	не следует	2	8
32	из этих	2	7
33	как и	14	7
34	том что	12	7
35	было бы	8	7
36	отношению к	8	7
37	вместе с	6	7
38	по отношению	10	7
39	не было	12	7
40	а не	12	7
41	это не	7	6
42	в себе	14	6
43	то что	29	6
44	том же	2	6
45	в нем	7	6
46	так и	6	6
47	бы и	5	6
48	и его	2	6
49	их в	3	6
50	между тем	9	6
51	в то	4	6
52	тому что	2	5
53	же время	3	5
54	и при	2	5
55	очевидно что	7	5
56	связи с	3	5
57	и есть	3	5
58	образы и	3	5
59	в искусстве	3	5
60	как бы	5	5
61	один из	2	5
62	сказать что	8	5
63	только в	15	5
64	не в	11	5
65	к тому	3	4
66	никогда не	3	4
67	равно как	2	4
68	в одном	4	4
69	что все	4	4
70	что он	4	4
71	можно сказать	4	4
72	в ее	2	4
73	в самом	3	4
74	даже в	2	4
75	художественное произведение	2	4
76	в них	3	4
77	с ними	3	4
78	и к	6	3
79	во время	2	3
80	с тем	7	3
81	и как	2	3
82	даже и	3	3
83	человека и	3	3
84	одном из	2	3
85	только что	3	3
86	у нас	2	3
87	по поводу	4	3
88	с этим	7	3
89	что не	6	3
90	со своим	4	3
91	например в	3	3
92	в виду	3	3
93	в котором	4	3
94	его в	4	3
95	что и	7	3
96	и их	3	3
97	например что	2	3
98	именно в	3	3
99	образом в	5	3
100	этот вопрос	3	3
101	имеет свою	2	3
102	того что	14	3
103	и по	3	3
104	так же	4	3
105	в слове	22	3
106	в которых	3	3
107	точки зрения	4	3
108	она не	2	3
109	бы в	2	3
110	не менее	5	2
111	на вопрос	4	2
112	в каждом	3	2
113	только не	3	2
114	из себя	2	2
115	но даже	2	2
116	и быть	2	2
117	по крайней	5	2
118	не всегда	3	2
119	с нею	3	2
120	вовсе не	7	2
121	а как	2	2
122	по себе	11	2
123	было в	3	2
124	только о	2	2
125	крайней мере	5	2
126	что его	2	2
127	до сих	4	2
128	и потому	10	2
129	в различных	2	2
130	и слова	2	2
131	еще не	3	2
132	и может	4	2
133	мысль о	6	2
134	же самое	4	2
135	для того	6	2
136	то это	8	2
137	если бы	13	2
138	мы имеем	4	2
139	что например	3	2
140	в представлении	4	2
141	к ним	2	2
142	в науке	3	2
143	в ней	2	2
144	что она	2	2
145	и даже	2	2
146	не вполне	2	2
147	всяком случае	3	2
148	лица и	3	2
149	при помощи	3	2
150	слова не	3	2
151	сих пор	4	2
152	от того	4	2
153	между прочим	3	2
154	уже по	2	2
155	даже не	2	2
156	вообще и	3	2
157	бы не	3	2
158	а в	5	2
159	в течение	2	2
160	человека в	2	2
161	того чтобы	4	2
162	из которых	2	2
163	должны быть	3	2
164	что такое	7	2
165	между ними	4	2
166	и для	2	2
167	можно было	2	2
168	с другими	4	2
169	между собою	4	2
170	тому как	2	2
171	в своих	2	2
172	собою и	2	2
173	во всяком	5	2
174	хотя и	5	2
175	лишь в	3	2
176	он не	2	2
177	подобно тому	2	2
178	к его	2	2
179	говорить о	5	2
180	что даже	2	2
181	ту же	3	2
182	что мы	10	2
183	от его	2	2
184	в образе	2	2
185	в которой	6	2
186	в области	2	2
187	тогда когда	8	2
188	в сознании	4	2
189	но в	8	2
