N	2gram	Tiupa_Anal_3	FransuaR
1	и в	18	40
2	то есть	10	18
3	и его	13	17
4	прежде всего	5	16
5	в романе	2	15
6	в этом	14	15
7	не только	22	13
8	и не	12	13
9	в его	7	13
10	что в	9	12
11	как и	14	11
12	но и	13	11
13	и т.п	5	10
14	таким образом	4	10
15	в них	2	9
16	и все	2	9
17	в сущности	5	9
18	может быть	9	9
19	он не	6	9
20	в том	9	8
21	все эти	2	8
22	той же	5	8
23	и на	4	8
24	но в	2	8
25	в своем	4	7
26	в одном	4	7
27	то же	3	7
28	он и	3	7
29	к этому	3	6
30	же время	3	6
31	в самом	5	6
32	во всех	2	6
33	связь с	2	6
34	в той	2	6
35	в то	3	6
36	здесь и	3	5
37	в году	3	5
38	со всеми	2	5
39	как раз	7	5
40	в нем	2	5
41	то что	2	5
42	не было	3	5
43	те же	2	5
44	а не	9	5
45	и для	2	5
46	так сказать	2	5
47	в особенности	3	5
48	для него	6	5
49	том что	12	4
50	было бы	3	4
51	ни для	2	4
52	в ней	2	4
53	и потому	2	4
54	а также	2	4
55	даже в	2	4
56	один из	2	4
57	в мире	5	4
58	в культуре	2	4
59	в их	6	4
60	все это	3	4
61	так в	3	4
62	роль в	3	4
63	о том	6	4
64	в данном	4	4
65	и даже	8	4
66	и здесь	2	4
67	с его	8	3
68	в частности	12	3
69	и от	2	3
70	и к	4	3
71	об этом	2	3
72	в ее	3	3
73	в начале	6	3
74	в этой	6	3
75	одна из	2	3
76	еще не	6	3
77	такого рода	5	3
78	вплоть до	2	3
79	как бы	10	3
80	что и	5	3
81	вместе с	2	3
82	дело не	3	3
83	так и	14	3
84	как в	3	3
85	и прежде	2	3
86	по отношению	7	3
87	не может	2	3
88	а в	10	3
89	там где	2	3
90	самом деле	2	3
91	в значительной	2	3
92	и как	4	3
93	сказать что	2	3
94	между тем	5	3
95	тем что	2	3
96	при этом	11	3
97	нуждается в	2	3
98	в отличие	2	3
99	в себе	2	3
100	во всем	3	3
101	только в	2	3
102	в конце	5	3
103	здесь не	3	3
104	отличие от	2	3
105	не менее	4	2
106	уже в	3	2
107	еще и	3	2
108	о чем	4	2
109	поэтому в	2	2
110	с другой	7	2
111	это не	2	2
112	из этих	3	2
113	с нею	2	2
114	что он	4	2
115	и вот	2	2
116	или иной	5	2
117	можно сказать	4	2
118	все же	4	2
119	это и	2	2
120	в дальнейшем	2	2
121	но не	7	2
122	и сам	4	2
123	в первой	8	2
124	например в	2	2
125	на его	2	2
126	значительной степени	2	2
127	по преимуществу	2	2
128	и той	2	2
129	той или	3	2
130	к жизни	3	2
131	отношению к	7	2
132	дело в	2	2
133	в целом	3	2
134	своего рода	8	2
135	данном случае	3	2
136	в форме	2	2
137	который в	3	2
138	этом отношении	3	2
139	именно в	3	2
140	хотя в	2	2
141	одной и	2	2
142	представляется нам	2	2
143	лишь в	5	2
144	с этим	3	2
145	точки зрения	3	2
146	и ее	2	2
147	но как	3	2
148	далеко не	4	2
149	этого слова	2	2
150	того же	5	2
151	мы не	3	2
