N	2gram	Vygotskiy__6	VrazhdaK
1	не только	16	9
2	в этом	27	8
3	и что	6	8
4	и в	28	8
5	но и	10	7
6	что в	17	7
7	то что	28	7
8	и все	5	7
9	в котором	2	6
10	в нем	7	6
11	все же	2	6
12	как и	6	6
13	но в	5	6
14	то же	7	5
15	и не	11	5
16	у него	2	5
17	в то	6	5
18	для нас	2	4
19	как бы	11	4
20	все это	2	4
21	целый ряд	4	4
22	это не	5	4
23	что он	18	4
24	так же	15	4
25	с ним	2	4
26	в своих	3	4
27	может быть	13	4
28	при этом	3	4
29	несмотря на	2	4
30	я не	4	3
31	с его	3	3
32	связи с	3	3
33	в своем	7	3
34	что у	2	3
35	в связи	2	3
36	в конце	2	3
37	на то	4	3
38	в том	28	3
39	раз в	3	3
40	и его	3	3
41	том что	19	3
42	и как	6	3
43	тем что	8	3
44	в его	3	3
45	его в	6	3
46	но он	2	3
47	в чем	6	3
48	одним из	2	3
49	он не	7	3
50	он сам	2	2
51	в своей	2	2
52	из них	2	2
53	не менее	2	2
54	никогда не	8	2
55	вместе с	7	2
56	в них	3	2
57	как раз	6	2
58	не может	19	2
59	а в	2	2
60	отношения к	3	2
61	таким образом	18	2
62	это в	2	2
63	но это	2	2
64	в той	4	2
65	мы знаем	4	2
66	с точки	10	2
67	на основе	4	2
68	в этой	5	2
69	что я	2	2
70	и то	4	2
71	же как	6	2
72	но как	3	2
73	точки зрения	13	2
74	в себе	4	2
75	отношение к	7	2
76	для него	6	2
77	в нашей	3	2
78	еще не	8	2
79	том же	5	2
