N	2gram	Losev_Prob_5	Myshleni
1	в том	12	28
2	и в	30	28
3	то что	18	28
4	в этом	17	27
5	того что	3	24
6	потому что	13	22
7	не может	5	19
8	том что	17	19
9	таким образом	13	18
10	что он	7	18
11	только в	9	18
12	что в	5	17
13	в силу	5	17
14	не только	18	16
15	так же	5	15
16	может быть	7	13
17	с помощью	2	13
18	сказать что	9	13
19	точки зрения	10	13
20	и не	12	11
21	как бы	6	11
22	в отношении	3	10
23	к тому	2	10
24	как мы	2	10
25	но и	13	10
26	по отношению	2	10
27	так как	6	10
28	но не	7	10
29	отношению к	2	10
30	того чтобы	2	10
31	с точки	8	10
32	было бы	4	9
33	мы можем	5	9
34	никогда не	7	8
35	в самом	5	8
36	еще не	3	8
37	для того	3	8
38	тем что	2	8
39	того же	4	7
40	в нем	6	7
41	в своем	11	7
42	отношение к	2	7
43	он не	3	7
44	вместе с	7	7
45	то же	2	7
46	можно было	2	7
47	в которой	5	7
48	и к	4	6
49	так что	11	6
50	и как	6	6
51	и что	6	6
52	в то	4	6
53	тогда когда	4	6
54	его в	6	6
55	как и	7	6
56	то время	3	6
57	можно сказать	6	6
58	так и	7	6
59	как раз	5	6
60	мы не	2	6
61	в чем	2	6
62	в области	2	6
63	не могут	2	5
64	это не	2	5
65	и тем	3	5
66	время как	3	5
67	и на	6	5
68	и все	9	5
69	но в	9	5
70	с тем	5	5
71	того как	5	5
72	в этой	10	5
73	я не	2	4
74	именно в	3	4
75	в частности	4	4
76	на то	2	4
77	не в	7	4
78	мы и	2	4
79	они не	2	4
80	в одной	2	4
81	мы имеем	2	4
82	ясно что	4	4
83	только тогда	3	4
84	в качестве	4	4
85	что и	6	4
86	и то	5	4
87	в себе	4	4
88	все время	3	3
89	есть в	2	3
90	в нашей	2	3
91	при этом	4	3
92	на его	2	3
93	хотя и	8	3
94	и только	2	3
95	во втором	2	3
96	больше чем	2	3
97	по своей	2	3
98	от этого	3	3
99	в них	2	3
100	по себе	2	3
101	раз в	2	3
102	связи с	7	3
103	до сих	2	3
104	один из	2	3
105	в его	12	3
106	сих пор	2	3
107	как в	2	3
108	а не	5	3
109	и его	6	3
110	не менее	5	2
111	он сам	3	2
112	всю свою	3	2
113	и другие	3	2
114	с другой	6	2
115	с этой	2	2
116	в конце	8	2
117	была бы	2	2
118	прежде всего	6	2
119	что именно	2	2
120	для нас	10	2
121	и более	2	2
122	самом деле	2	2
123	и другое	3	2
124	и человека	2	2
125	несмотря на	6	2
126	и является	2	2
127	в котором	2	2
128	из них	2	2
129	другой стороны	6	2
130	в связи	7	2
131	все эти	2	2
132	но только	3	2
133	в других	3	2
134	но он	5	2
135	что у	5	2
136	с ним	3	2
137	если он	2	2
138	у него	11	2
139	раз и	2	2
140	в одном	3	2
141	этом смысле	3	2
142	у нас	7	2
143	по существу	2	2
144	в своей	22	2
145	из этого	4	2
146	еще в	5	2
147	все же	9	2
148	когда он	2	2
149	ее в	2	2
150	внимание на	3	2
151	а в	6	2
152	перейти к	3	2
153	в значительной	2	2
154	нас в	4	2
155	в данном	2	2
156	как с	2	2
157	в другом	3	2
158	и вообще	9	2
159	что они	3	2
160	не прямо	2	2
161	значительной мере	2	2
