N	2gram	Berdyaev_M_2	Myshleni
1	в том	3	42
2	том что	4	35
3	точки зрения	2	24
4	в этом	20	24
5	и в	46	20
6	что в	4	19
7	в основе	2	17
8	то же	5	16
9	то что	5	15
10	не только	18	15
11	что они	3	14
12	потому что	12	12
13	может быть	21	12
14	так же	6	11
15	в его	5	11
16	того что	6	10
17	так как	8	10
18	в отношении	5	10
19	мы видим	2	10
20	в себе	10	10
21	только в	3	10
22	но и	15	9
23	между тем	2	9
24	как и	13	9
25	тот же	2	9
26	что и	4	9
27	и не	18	8
28	и что	2	8
29	тогда когда	2	8
30	вместе с	2	8
31	как бы	8	7
32	и тот	2	7
33	в своей	5	7
34	а не	13	7
35	того чтобы	4	7
36	тем что	3	7
37	уже в	2	6
38	к тому	5	6
39	же как	3	6
40	такого рода	2	6
41	в самом	5	6
42	этот процесс	2	6
43	не может	15	6
44	те же	5	6
45	и на	3	6
46	сказать что	3	6
47	по своей	3	6
48	его в	3	6
49	что он	7	6
50	той же	3	6
51	можно было	2	6
52	никогда не	18	5
53	это не	5	5
54	в действительности	2	5
55	увидим что	2	5
56	если бы	3	5
57	и его	5	5
58	и к	7	5
59	о том	3	5
60	так и	4	5
61	как в	7	5
62	одной и	2	5
63	для того	5	5
64	все время	2	4
65	в нашем	7	4
66	тому что	4	4
67	в своем	8	4
68	и той	2	4
69	друг друга	12	4
70	и те	2	4
71	как он	3	4
72	и с	3	4
73	в сущности	2	4
74	не в	9	4
75	и для	7	4
76	которые в	2	4
77	на этом	2	3
78	в этих	2	3
79	и от	3	3
80	что все	5	3
81	на все	3	3
82	так что	2	3
83	в этой	7	3
84	не имеют	2	3
85	себе и	2	3
86	от того	3	3
87	один из	5	3
88	и других	2	3
89	должно быть	2	3
90	на его	2	3
91	к которому	3	3
92	но в	10	3
93	не означает	2	3
94	и во	3	3
95	приходит к	2	3
96	бы в	2	3
97	во всем	5	3
98	чем в	2	3
99	с таким	2	3
100	себя в	4	3
101	говорит что	2	3
102	одни и	2	3
103	нас в	2	3
104	ни в	3	3
105	связи с	2	3
106	в чем	3	3
107	в которой	2	3
108	на деле	4	3
109	и поэтому	2	3
110	место в	2	2
111	связана с	7	2
112	в каждом	3	2
113	прежде всего	12	2
114	это означает	2	2
115	высшей степени	3	2
116	в свою	4	2
117	для него	18	2
118	что это	6	2
119	этого вопроса	2	2
120	но для	2	2
121	в ней	11	2
122	в нем	22	2
123	к нему	2	2
124	привести к	5	2
125	они не	4	2
126	должно привести	2	2
127	не имеет	4	2
128	а в	2	2
129	не знает	9	2
130	также и	4	2
131	в мысли	2	2
132	и здесь	6	2
133	самого себя	4	2
134	на высшую	2	2
135	у него	22	2
136	ничего кроме	2	2
137	с которым	3	2
138	не бывает	3	2
139	не есть	13	2
140	дальше и	2	2
141	и тогда	3	2
142	того как	3	2
143	и он	11	2
144	в высшей	3	2
145	тому как	2	2
146	подобно тому	2	2
147	вопроса о	4	2
148	и это	5	2
