N	3gram	Voloshinov_2	Psycholo
1	в том что	6	9
2	на то что	2	8
3	не может быть	10	8
4	в самом деле	5	7
5	о том что	3	7
6	во всяком случае	2	6
7	с одной стороны	3	5
8	в зависимости от	2	5
9	для того чтобы	6	5
10	мы никогда не	2	4
11	в отличие от	3	3
12	ни в какой	2	3
13	в собственном смысле	2	3
14	до сих пор	3	3
15	не было бы	2	2
16	собственном смысле слова	2	2
17	смысле этого слова	4	2
18	более или менее	2	2
19	в таком случае	3	2
20	с точки зрения	13	2
21	то же самое	5	2
22	в русском языке	4	2
23	только на почве	2	2
24	на самом деле	4	2
