N	2gram	Medvedev_S_1	Problema
1	и в	3	44
2	может быть	2	28
3	то что	2	23
4	в том	5	21
5	только в	2	19
6	в этом	5	17
7	для нас	3	16
8	не только	3	14
9	не в	3	13
10	то же	2	13
11	том что	2	12
12	но и	2	10
13	как бы	2	9
14	в его	3	9
15	таким образом	2	9
16	что в	2	8
17	было бы	2	8
18	и что	2	7
19	это и	2	7
20	и только	3	6
21	или даже	2	5
22	в конце	2	5
23	все это	7	5
24	еще не	2	5
25	за пределы	2	5
26	как только	2	3
27	конце концов	2	3
28	тем более	2	3
29	как будто	2	3
30	в частности	2	2
31	в результате	2	2
32	она может	2	2
33	по существу	2	2
34	литературы и	2	2
35	дело не	2	2
