N	3gram	Vinokur_Vv_1	Myshleni
1	с точки зрения	2	21
2	для того чтобы	21	18
3	в этом случае	6	14
4	в том что	12	13
5	по сравнению с	3	7
6	в данном случае	4	5
7	то же самое	2	5
8	с одной стороны	4	5
9	по отношению к	4	5
10	о чем говорится	3	4
11	в самом деле	5	4
12	о том что	12	4
13	не может быть	8	4
14	вместе с тем	3	4
15	заключается в том	3	4
16	и то что	2	3
17	смысле этого слова	2	3
18	одной стороны и	3	3
19	тем не менее	8	3
20	можно сказать что	3	3
21	по этому поводу	2	3
22	в собственном смысле	2	3
23	как мы видели	2	3
24	в этом отношении	3	3
25	состоит в том	2	3
26	до сих пор	5	3
27	в первом случае	2	3
28	именно в этом	3	2
29	и той же	2	2
30	не до конца	2	2
31	по своему значению	2	2
32	мере в какой	4	2
33	точно так же	2	2
34	к выводу что	5	2
35	в отличие от	3	2
36	в известном смысле	3	2
37	же самое что	2	2
38	в той мере	4	2
39	одной и той	2	2
40	что в этом	2	2
41	той мере в	4	2
42	потому что он	2	2
