N	2gram	Vinokur_Ku_3	VrazhdaK
1	не только	17	9
2	в этом	16	8
3	и что	7	8
4	и в	23	8
5	но и	3	7
6	что в	13	7
7	то что	4	7
8	в котором	2	6
9	все же	5	6
10	как и	5	6
11	но в	2	6
12	и с	3	6
13	то же	6	5
14	не было	4	5
15	и не	10	5
16	между тем	4	5
17	в то	3	5
18	в россии	2	5
19	уже в	3	4
20	для нас	4	4
21	как бы	5	4
22	все это	2	4
23	целый ряд	4	4
24	это не	3	4
25	что он	6	4
26	так же	2	4
27	может быть	14	4
28	при этом	6	4
29	о том	6	4
30	в ней	3	4
31	в виду	8	4
32	речь идет	3	3
33	я не	5	3
34	связи с	6	3
35	в своем	4	3
36	эти слова	2	3
37	что есть	2	3
38	в связи	5	3
39	т е	32	3
40	в том	22	3
41	том что	11	3
42	и как	2	3
43	тем что	5	3
44	в его	11	3
45	далеко не	5	3
46	его в	2	3
47	и о	4	3
48	в чем	5	3
49	он не	3	3
50	а с	3	2
51	в известном	2	2
52	в своей	4	2
53	не менее	12	2
54	вместе с	2	2
55	отнюдь не	3	2
56	он пишет	2	2
57	столь же	4	2
58	как раз	4	2
59	так в	2	2
60	не может	6	2
61	а в	5	2
62	таким образом	9	2
63	это в	2	2
64	п в	3	2
65	но это	5	2
66	в той	4	2
67	уже не	8	2
68	с точки	16	2
69	как же	3	2
70	тем более	5	2
71	но как	3	2
72	точки зрения	23	2
73	отношение к	3	2
74	в нашей	4	2
75	еще не	9	2
76	о чем	2	2
77	а также	4	2
