N	2gram	Tiupa_Hudo_2	Myshleni
1	в том	15	28
2	и в	28	28
3	то что	6	28
4	в этом	13	27
5	потому что	2	22
6	не может	4	19
7	том что	19	19
8	что он	8	18
9	только в	4	18
10	что в	5	17
11	не только	11	16
12	так же	3	15
13	может быть	8	13
14	сказать что	2	13
15	точки зрения	2	13
16	тому что	4	11
17	и не	18	11
18	как бы	5	11
19	к тому	7	10
20	как мы	2	10
21	но и	9	10
22	по отношению	7	10
23	но не	4	10
24	отношению к	7	10
25	того чтобы	4	10
26	с точки	2	10
27	было бы	3	9
28	никогда не	5	8
29	в самом	5	8
30	еще не	3	8
31	тем самым	2	8
32	для того	4	8
33	тем что	6	8
34	если бы	6	7
35	в нем	3	7
36	в своем	5	7
37	отношение к	2	7
38	он не	4	7
39	вместе с	2	7
40	то же	6	7
41	между ними	2	7
42	можно было	3	7
43	и к	2	6
44	же как	2	6
45	для него	5	6
46	в родном	3	6
47	в то	6	6
48	же самое	3	6
49	его в	2	6
50	как и	11	6
51	можно сказать	6	6
52	так и	8	6
53	приводит к	2	6
54	как раз	4	6
55	это не	6	5
56	и на	3	5
57	и все	7	5
58	но в	2	5
59	что все	3	5
60	то в	4	5
61	того как	2	5
62	в этой	5	5
63	я не	7	4
64	именно в	2	4
65	в частности	7	4
66	в нашем	2	4
67	что на	3	4
68	мы знаем	2	4
69	не в	13	4
70	на этом	2	4
71	в состоянии	3	4
72	в первом	2	4
73	в качестве	4	4
74	оно не	2	4
75	что и	4	4
76	той же	2	4
77	и то	2	4
78	в себе	9	4
79	из этих	2	3
80	все время	3	3
81	а по	2	3
82	как это	7	3
83	всякий раз	3	3
84	при этом	11	3
85	как на	2	3
86	и только	2	3
87	те же	2	3
88	во втором	2	3
89	в основе	2	3
90	нуждается в	2	3
91	с его	5	3
92	и составляет	2	3
93	только не	2	3
94	в них	3	3
95	на фоне	3	3
96	раз в	3	3
97	до сих	2	3
98	не по	2	3
99	один из	2	3
100	в его	11	3
101	сих пор	2	3
102	как в	5	3
103	а не	14	3
104	и его	5	3
105	чего не	2	3
106	и т.д	2	3
107	с того	2	3
108	как только	3	2
109	не менее	5	2
110	он сам	2	2
111	казалось бы	6	2
112	и другие	5	2
113	в этих	3	2
114	с другой	3	2
115	была бы	3	2
116	прежде всего	3	2
117	для нас	3	2
118	самом деле	3	2
119	несмотря на	3	2
120	в четвертом	2	2
121	и от	2	2
122	в котором	6	2
123	во второй	2	2
124	из них	2	2
125	все это	3	2
126	в других	4	2
127	с ними	3	2
128	приходит к	2	2
129	что у	3	2
130	с ним	7	2
131	том как	2	2
132	состоит в	7	2
133	у него	5	2
134	в одном	3	2
135	не с	2	2
136	идет по	2	2
137	она не	5	2
138	мы уже	3	2
139	в ряду	2	2
140	в своей	6	2
141	все же	2	2
142	мысли и	2	2
143	только на	5	2
144	внимание на	3	2
145	дело с	2	2
146	а в	6	2
147	с другими	3	2
148	в данном	2	2
149	что я	2	2
150	в другом	2	2
151	что они	4	2
