N	2gram	Tiupa_Narr_1	KFilosof
1	может быть	15	43
2	в его	6	39
3	в нем	4	31
4	не может	8	27
5	и не	23	26
6	по отношению	3	25
7	и в	11	22
8	отношению к	3	21
9	в себе	6	21
10	а не	13	17
11	и его	10	17
12	только в	12	16
13	точки зрения	5	13
14	в этом	12	13
15	для него	4	12
16	но не	4	12
17	в своей	5	11
18	не в	6	11
19	к нему	4	11
20	в едином	2	10
21	в своем	3	10
22	это не	3	10
23	в целом	3	9
24	но и	27	9
25	как бы	6	9
26	и все	3	9
27	и для	2	9
28	не было	3	8
29	лишь в	3	8
30	если бы	7	8
31	жизни и	6	8
32	со стороны	8	8
33	то что	9	7
34	себя в	2	7
35	в том	8	6
36	и только	2	6
37	в мире	4	6
38	отнюдь не	2	6
39	он не	3	6
40	уже не	8	6
41	мира в	4	6
42	никогда не	4	5
43	хотя бы	2	5
44	то же	8	5
45	именно в	3	5
46	не имеет	2	5
47	но как	3	5
48	событие в	5	5
49	с ним	2	5
50	но в	7	5
51	жизни в	2	5
52	в событии	2	5
53	как и	13	5
54	не только	31	5
55	все же	4	5
56	мы имеем	3	5
57	жизни как	2	5
58	времени и	9	4
59	что в	3	4
60	входит в	2	4
61	при этом	19	4
62	к ним	2	4
63	не по	4	4
64	с ними	2	4
65	между тем	3	4
66	могло бы	3	4
67	в одном	4	4
68	том что	7	4
69	о нем	3	4
70	а в	13	4
71	тем самым	5	4
72	и т.д	6	4
73	в чем	2	4
74	не менее	3	3
75	в свою	2	3
76	до конца	2	3
77	и тем	4	3
78	того что	4	3
79	и на	5	3
80	в ней	4	3
81	в то	4	3
82	события в	2	3
83	о том	4	3
84	мы не	3	3
85	по своему	2	3
86	еще не	4	3
87	в современной	3	3
88	быть и	2	3
89	самом деле	3	3
90	для того	3	3
91	что не	2	3
92	к чему	3	3
93	здесь не	2	3
94	ничего не	2	3
95	слова в	4	2
96	сознания в	2	2
97	это уже	3	2
98	его и	2	2
99	та же	2	2
100	прежде всего	4	2
101	или иной	4	2
102	ему в	2	2
103	тем не	3	2
104	было и	2	2
105	и как	3	2
106	соответствии с	4	2
107	же время	4	2
108	и значимость	2	2
109	но для	3	2
110	не о	2	2
111	своей истории	2	2
112	его жизни	3	2
113	по себе	4	2
114	быть не	3	2
115	в принципе	4	2
116	а по	2	2
117	потому что	5	2
118	он и	2	2
119	к себе	4	2
120	той или	5	2
121	в сознании	4	2
122	в событие	2	2
123	с его	4	2
124	и то	3	2
125	в жизни	3	2
126	что он	3	2
127	и того	2	2
128	в соответствии	5	2
129	значимость и	2	2
130	не будет	2	2
131	в качестве	14	2
132	всех его	2	2
133	или иным	2	2
134	жизни но	2	2
135	дело не	2	2
136	оно не	2	2
137	так и	5	2
138	как в	4	2
139	содержание не	2	2
140	дело с	2	2
141	если не	2	2
142	сводится к	3	2
143	того чтобы	4	2
144	в данном	11	2
145	в этой	6	2
146	один и	2	2
147	дело в	2	2
148	едва ли	3	2
149	в области	2	2
150	а для	3	2
