N	2gram	Tiupa_Narr_1	Myslijsy
1	то есть	19	42
2	и в	19	39
3	может быть	25	27
4	в том	18	26
5	только в	4	25
6	что в	3	22
7	не может	10	22
8	а не	12	21
9	не только	32	21
10	в нем	4	20
11	но и	23	20
12	и не	20	18
13	языка и	2	17
14	том что	14	16
15	не в	14	15
16	в этом	17	15
17	отношению к	6	13
18	так и	9	13
19	по отношению	7	13
20	в себе	8	13
21	было бы	4	12
22	точно так	2	11
23	по себе	5	10
24	что не	4	10
25	не есть	3	10
26	то что	11	10
27	как в	7	10
28	могут быть	3	9
29	как и	7	9
30	тем что	3	9
31	но в	6	9
32	но не	5	8
33	со стороны	9	8
34	точки зрения	10	8
35	с другой	8	7
36	в ней	3	7
37	это не	2	7
38	не менее	3	6
39	независимо от	2	6
40	тем не	3	6
41	и как	5	6
42	еще не	7	6
43	что на	2	6
44	как бы	4	6
45	все же	7	6
46	бы не	2	6
47	то же	4	6
48	при этом	9	6
49	зависит от	2	5
50	несмотря на	2	5
51	то в	6	5
52	и потому	2	5
53	в его	9	5
54	в первом	3	5
55	другой стороны	4	5
56	так же	2	5
57	а в	11	5
58	и для	2	5
59	во втором	4	5
60	не имеет	2	5
61	и его	5	5
62	в таком	2	5
63	между тем	3	5
64	никогда не	3	4
65	однако в	2	4
66	тем самым	6	4
67	прежде всего	4	4
68	в свою	3	4
69	субъекта и	2	4
70	свою очередь	3	4
71	же время	4	4
72	для него	2	4
73	к тому	7	4
74	бы быть	3	4
75	не было	2	4
76	и даже	3	4
77	тому как	2	4
78	из этих	3	4
79	в то	3	4
80	что мы	2	4
81	что это	3	3
82	столь же	3	3
83	оно не	2	3
84	как кажется	2	3
85	не могло	2	3
86	в этой	5	3
87	в своем	2	3
88	она не	2	3
89	одной стороны	7	3
90	и тем	4	3
91	в мире	9	3
92	связи с	4	3
93	на него	3	3
94	то ни	3	3
95	с одной	7	3
96	хотя в	2	3
97	не мог	4	3
98	или даже	2	3
99	должна быть	2	3
100	что по	2	3
101	сказать что	4	3
102	хотя и	3	3
103	одно из	2	3
104	он не	3	3
105	подобно тому	2	3
106	с точки	2	3
107	и все	2	3
108	к которому	2	3
109	она может	2	3
110	и с	4	3
111	но как	2	3
112	не существует	3	2
113	то она	2	2
114	в полном	2	2
115	нуждается в	5	2
116	одного из	4	2
117	ключ к	2	2
118	бы то	3	2
119	в собственном	2	2
120	что именно	2	2
121	не что	2	2
122	как мы	3	2
123	же в	4	2
124	ни было	3	2
125	жизни и	3	2
126	уже не	5	2
127	но все	4	2
128	если не	4	2
129	не будет	3	2
130	мог бы	3	2
131	в сущности	3	2
132	значительной степени	2	2
133	имеет место	4	2
134	одним из	2	2
135	лица и	2	2
136	не все	5	2
137	с ее	3	2
138	тем более	2	2
139	и только	2	2
140	тогда как	12	2
141	времени и	7	2
142	или в	2	2
143	хотя бы	4	2
144	но без	2	2
145	которых и	2	2
146	рода но	2	2
147	иное как	2	2
148	что иное	2	2
149	как будто	3	2
150	все то	2	2
151	о том	6	2
152	таком случае	2	2
153	есть в	2	2
154	когда мы	2	2
