N	2gram	Vinokur_Ku_1	Freidism
1	таким образом	12	24
2	и не	12	23
3	не может	7	20
4	точки зрения	14	19
5	прежде всего	9	18
6	и пр	15	15
7	в этом	14	15
8	в его	12	15
9	с помощью	7	14
10	может быть	13	13
11	и его	5	12
12	как и	2	11
13	как бы	7	11
14	то что	9	11
15	все эти	6	11
16	с точки	9	11
17	и потому	4	10
18	так и	7	10
19	самом деле	9	10
20	с ним	5	10
21	но в	2	10
22	с его	4	9
23	и в	24	9
24	по отношению	8	9
25	что он	6	8
26	отношению к	9	8
27	еще не	5	8
28	в своей	2	8
29	он не	2	8
30	не только	10	8
31	все это	6	8
32	то же	8	8
33	только в	11	8
34	и все	2	8
35	так как	9	8
36	ни в	2	7
37	тот же	2	7
38	во всяком	5	7
39	один из	4	7
40	в самом	10	7
41	что же	6	7
42	всяком случае	5	7
43	никогда не	2	6
44	вовсе не	10	6
45	того что	9	6
46	в ней	6	6
47	все те	2	6
48	так сказать	5	6
49	хотя бы	10	6
50	и с	5	6
51	в свою	3	5
52	можно сказать	3	5
53	не в	11	5
54	в этой	3	5
55	для этого	3	5
56	в то	2	5
57	в большинстве	2	5
58	что такое	6	5
59	что в	17	5
60	но и	6	5
61	на самом	2	5
62	для того	16	5
63	а в	5	5
64	и на	4	5
65	с этим	4	5
66	в каком	2	5
67	не менее	7	4
68	но не	5	4
69	я не	2	4
70	в котором	3	4
71	в этих	4	4
72	из этих	4	4
73	в пределах	4	4
74	если мы	2	4
75	в собственном	2	4
76	к тому	5	4
77	сводится к	3	4
78	же время	2	4
79	в последнем	2	4
80	при этом	6	4
81	конечно не	2	4
82	как раз	8	4
83	в зависимости	5	4
84	в нем	4	4
85	все же	12	4
86	это только	3	4
87	не было	3	4
88	между ними	2	4
89	уже не	8	4
90	того чтобы	17	4
91	и для	2	4
92	в которой	6	4
93	той же	3	4
94	в таком	3	4
95	с ними	4	4
96	с их	3	4
97	в данном	4	4
98	потому что	23	4
99	в более	2	4
100	зависимости от	6	4
101	не могут	2	3
102	нисколько не	3	3
103	если бы	9	3
104	и есть	2	3
105	тому что	3	3
106	в них	7	3
107	во втором	2	3
108	на себя	3	3
109	к себе	4	3
110	что все	2	3
111	а только	8	3
112	в себе	3	3
113	и как	2	3
114	учение о	4	3
115	и может	3	3
116	было бы	15	3
117	в общем	3	3
118	ее в	2	3
119	когда он	3	3
120	вместе с	7	3
121	со стороны	4	3
122	как в	4	3
123	и что	5	3
124	свою очередь	3	3
125	на этот	2	3
126	мы имеем	6	3
127	но ведь	2	3
128	слова и	4	3
129	не является	2	3
130	в силах	2	2
131	уже в	3	2
132	этого не	2	2
133	но все	2	2
134	и становится	2	2
135	что это	5	2
136	в какой	6	2
137	того же	4	2
138	с другой	7	2
139	это не	7	2
140	оно не	3	2
141	факты и	2	2
142	содержание и	5	2
143	большое значение	2	2
144	тем не	4	2
145	для нас	2	2
146	до конца	2	2
147	это и	4	2
148	том что	21	2
149	а не	8	2
150	связано с	3	2
151	что с	2	2
152	социальной жизни	2	2
153	если его	2	2
154	из них	4	2
155	же касается	4	2
156	но если	2	2
157	о нем	2	2
158	относится к	2	2
159	в своем	3	2
160	себе и	2	2
161	и мысли	2	2
162	дело не	2	2
163	сих пор	4	2
164	что она	3	2
165	в их	3	2
166	а с	3	2
167	этом отношении	5	2
168	что оно	3	2
169	а потому	5	2
170	должны быть	2	2
171	в науке	4	2
172	и даже	3	2
173	так же	4	2
174	как на	3	2
175	рядом с	5	2
176	роль в	4	2
177	социального общения	3	2
178	в таких	4	2
179	и то	3	2
180	очень много	2	2
181	от этого	2	2
182	нуждается в	3	2
183	они не	3	2
184	что и	4	2
185	и при	2	2
186	речи и	5	2
187	в первом	3	2
188	до сих	4	2
189	когда мы	2	2
190	как это	3	2
191	в области	7	2
192	в виду	5	2
193	это было	2	2
