N	3gram	Bakhtin_sl_1	VLabPisa
1	и т д	5	15
2	и т п	23	9
3	с другой стороны	4	8
4	более или менее	3	6
5	хотя бы и	3	5
6	в зависимости от	3	5
7	то же время	12	5
8	в то же	12	5
9	не могут быть	2	4
10	к тому что	2	3
11	большей или меньшей	4	3
12	о том же	2	3
13	и в то	5	3
14	и в другом	2	2
15	не может не	5	2
16	или меньшей степени	3	2
17	до сих пор	2	2
18	во всех его	7	2
19	и не может	2	2
20	во всяком случае	5	2
21	таким образом в	3	2
22	в большей или	3	2
23	с одной стороны	4	2
24	можно было бы	2	2
