N	2gram	Tiupa_Hudo_1	DiskursI
1	в себе	11	19
2	при этом	12	17
3	состоит в	2	16
4	в качестве	9	16
5	и в	14	16
6	может быть	5	16
7	как и	9	16
8	в этом	11	16
9	и не	2	15
10	а не	12	14
11	в частности	5	12
12	в мире	3	11
13	но и	5	11
14	тогда как	7	11
15	но в	5	11
16	том что	16	10
17	не только	12	10
18	своего рода	7	10
19	со стороны	3	10
20	такого рода	3	9
21	так и	13	9
22	не может	7	9
23	в том	12	8
24	а также	3	8
25	как в	8	8
26	в рамках	2	7
27	не менее	5	7
28	художественного письма	2	7
29	прежде всего	11	7
30	в нем	3	7
31	ни в	5	7
32	но не	3	7
33	картины мира	4	7
34	при всей	2	7
35	с его	5	6
36	отнюдь не	3	6
37	себя в	4	6
38	еще не	7	6
39	все же	3	6
40	в своей	10	6
41	то же	9	6
42	в своих	3	6
43	по своей	4	6
44	анекдота и	11	6
45	ни к	2	5
46	а с	2	5
47	что в	6	5
48	в своем	4	5
49	в противовес	2	5
50	и притчи	8	5
51	же время	8	5
52	для него	10	5
53	героя в	2	5
54	то что	8	5
55	и на	3	5
56	в то	8	5
57	с позиции	2	4
58	в пределах	3	4
59	художественного целого	4	4
60	как бы	7	4
61	отношению к	8	4
62	по отношению	8	4
63	этом отношении	3	4
64	человека в	6	4
65	картина мира	4	4
66	в рассказе	11	4
67	потому что	5	4
68	точки зрения	5	4
69	в этой	8	4
70	о том	12	4
71	картину мира	3	4
72	я и	2	4
73	перед нами	5	3
74	жизни в	6	3
75	в этих	5	3
76	столь же	4	3
77	это не	7	3
78	не столько	2	3
79	и все	4	3
80	уже не	7	3
81	не в	7	3
82	можно сказать	4	3
83	например в	2	3
84	но одновременно	3	3
85	он не	4	3
86	в его	8	3
87	героем анекдота	2	3
88	в русской	4	3
89	еще в	3	3
90	к жизни	5	3
91	из них	4	3
92	жизни и	5	3
93	в тексте	3	3
94	приводит к	3	3
95	в анекдоте	4	3
96	не было	4	3
97	анекдота но	2	3
98	иначе говоря	2	3
99	все эти	3	3
100	жанровой стратегии	2	3
101	и его	5	3
102	об одном	2	3
103	в другом	2	3
104	не знает	2	3
105	как будто	4	3
106	только в	5	3
107	не следует	2	3
108	его в	3	3
109	в творчестве	3	3
110	как все	2	2
111	из таганрога	2	2
112	же как	2	2
113	никогда не	6	2
114	или напротив	2	2
115	же касается	2	2
116	н.д тамарченко	2	2
117	бытия и	4	2
118	в целом	2	2
119	это в	3	2
120	личности в	7	2
121	или иного	2	2
122	идет о	3	2
123	что на	2	2
124	интерес к	5	2
125	в ходе	3	2
126	что он	9	2
127	такой же	3	2
128	рассказа не	2	2
129	не нужно	2	2
130	первую очередь	2	2
131	творчестве чехова	3	2
132	чеховского творчества	4	2
133	со своим	2	2
134	в первую	2	2
135	несет в	3	2
136	живет в	2	2
137	в ней	4	2
138	рассказа в	6	2
139	для себя	3	2
140	и притчевого	2	2
141	с ее	2	2
142	с точки	3	2
143	с той	2	2
144	лежит на	2	2
145	русской литературе	3	2
146	заключает в	2	2
147	что же	2	2
148	жизнью и	2	2
149	человеческой жизни	4	2
150	притчевого начал	2	2
151	может и	3	2
152	при котором	2	2
153	именно в	7	2
154	по преимуществу	3	2
155	себе самому	3	2
156	в себя	2	2
157	там же	2	2
158	к своему	2	2
159	все это	2	2
160	степи и	2	2
161	французов гнал	2	2
162	жизни как	2	2
163	и для	3	2
164	должно быть	2	2
165	анекдотического и	3	2
166	а в	7	2
167	той же	2	2
168	в концовке	6	2
169	в результате	2	2
170	пока еще	2	2
171	и с	4	2
172	не о	2	2
173	герой анекдота	2	2
174	чехова в	3	2
175	говорить о	3	2
176	притчи и	3	2
177	отсюда и	2	2
178	и это	4	2
179	здесь не	2	2
180	о чехове	2	2
181	между тем	8	2
