N	2gram	Tiupa_Disk_2	KulturaY
1	потому что	4	25
2	и в	16	23
3	не только	10	20
4	в том	8	19
5	в этом	16	18
6	и не	15	16
7	ни к	5	15
8	может быть	16	15
9	точки зрения	4	14
10	все эти	3	12
11	том что	10	11
12	в области	2	11
13	но в	11	11
14	что в	5	10
15	в языке	2	10
16	а не	14	10
17	то что	5	9
18	не может	9	9
19	с другой	5	8
20	прежде всего	7	8
21	не в	3	8
22	в качестве	16	8
23	уже не	3	8
24	с точки	2	8
25	не менее	7	7
26	все же	6	7
27	но и	11	7
28	другой стороны	2	7
29	и с	2	7
30	это не	3	6
31	в этой	4	6
32	но не	7	6
33	речи в	2	6
34	то же	6	6
35	между тем	2	6
36	и на	5	6
37	должна быть	2	5
38	что он	2	5
39	еще не	6	5
40	в его	3	5
41	вместе с	2	5
42	что же	2	5
43	приводит к	3	5
44	все это	2	5
45	и то	4	5
46	не следует	3	5
47	только в	3	5
48	также и	3	5
49	мы имеем	2	5
50	отнюдь не	6	4
51	в них	3	4
52	перед нами	3	4
53	к этому	4	4
54	можно сказать	3	4
55	что на	2	4
56	ни в	7	4
57	должно быть	2	4
58	в пределах	4	4
59	своего рода	10	4
60	как бы	4	4
61	в нем	7	4
62	со стороны	10	4
63	не было	3	4
64	в данном	7	4
65	в результате	2	4
66	могут быть	3	4
67	говорить о	2	4
68	в то	5	4
69	так и	9	4
70	же время	5	3
71	а также	8	3
72	в соответствии	2	3
73	но это	3	3
74	того же	2	3
75	в ней	2	3
76	он не	3	3
77	что и	2	3
78	как в	8	3
79	этом отношении	4	3
80	не знает	3	3
81	именно в	2	3
82	сводится к	2	3
83	а в	2	3
84	и его	3	3
85	слова не	2	3
86	и это	2	3
87	есть в	2	3
88	здесь не	2	3
89	же как	2	2
90	это в	2	2
91	в частности	12	2
92	никогда не	2	2
93	состоит в	16	2
94	и все	3	2
95	но здесь	2	2
96	одного из	4	2
97	или иного	2	2
98	этом случае	2	2
99	в другом	3	2
100	с одной	4	2
101	с той	2	2
102	не более	2	2
103	как будто	3	2
104	на примере	2	2
105	при этом	17	2
106	по словам	2	2
107	по преимуществу	2	2
108	в свое	2	2
109	но уже	2	2
110	наше время	2	2
111	в своей	6	2
112	данном случае	6	2
113	для данного	3	2
114	в наше	2	2
115	в своем	5	2
116	не на	2	2
117	в отличие	12	2
118	и для	2	2
119	как и	16	2
120	в той	2	2
121	тем самым	6	2
122	свое время	2	2
123	той же	2	2
124	роль в	4	2
125	в своих	6	2
126	соответствии с	3	2
127	отсюда и	2	2
128	отличие от	12	2
