N	2gram	Nazirov_Tv_2	Formalny
1	и в	20	38
2	в этом	8	27
3	может быть	8	23
4	и его	9	21
5	таким образом	10	20
6	и не	9	20
7	в самом	3	16
8	прежде всего	8	15
9	не в	4	15
10	и т	13	14
11	не может	7	14
12	в нем	3	13
13	но и	8	13
14	в том	8	11
15	вовсе не	2	11
16	в его	10	10
17	с другими	2	10
18	и с	8	9
19	как и	6	9
20	при этом	8	9
21	в процессе	2	9
22	не только	13	9
23	т п	2	9
24	отнюдь не	4	8
25	все же	5	8
26	так и	6	8
27	самом деле	2	8
28	тем что	3	8
29	что в	7	7
30	для него	3	7
31	в своей	6	7
32	уже не	3	7
33	не было	2	6
34	все время	2	6
35	то что	3	6
36	в истории	2	6
37	и ее	2	6
38	в этой	5	6
39	вместе с	3	6
40	в их	3	6
41	то же	7	6
42	все эти	4	6
43	а не	6	6
44	могут быть	2	6
45	он не	3	6
46	только в	2	6
47	а в	4	6
48	если бы	4	5
49	что он	6	5
50	именно в	6	5
51	же время	7	5
52	по преимуществу	2	5
53	и только	2	5
54	т д	11	5
55	сводится к	2	5
56	более того	2	5
57	в основе	2	5
58	говорить о	2	5
59	в то	10	5
60	во всяком	2	5
61	всяком случае	2	5
62	как о	2	4
63	не столько	2	4
64	к этому	3	4
65	в дальнейшем	4	4
66	что они	4	4
67	в статье	2	4
68	как бы	11	4
69	из них	2	4
70	как в	4	4
71	другой стороны	2	4
72	что не	3	4
73	и наконец	2	4
74	и даже	5	4
75	ничего не	4	4
76	так как	3	4
77	но в	4	4
78	же как	3	3
79	место в	3	3
80	и др	3	3
81	с другой	2	3
82	например в	5	3
83	не является	3	3
84	и отчасти	3	3
85	в целом	6	3
86	все это	6	3
87	так в	2	3
88	такой же	2	3
89	особенно в	2	3
90	роль в	2	3
91	мы не	4	3
92	и на	5	3
93	хотя и	4	3
94	но ведь	2	3
95	его в	3	3
96	сюжета и	2	3
97	так сказать	2	3
98	б м	2	3
99	для определения	2	2
100	уже в	2	2
101	никогда не	11	2
102	или даже	2	2
103	это не	7	2
104	в одной	3	2
105	в такой	2	2
106	в конце	6	2
107	представление о	7	2
108	и лишь	2	2
109	в ее	2	2
110	относится и	2	2
111	том что	4	2
112	но это	5	2
113	но не	5	2
114	что на	2	2
115	едва ли	2	2
116	в котором	3	2
117	не так	2	2
118	один из	3	2
119	приводит к	2	2
120	в известной	4	2
121	и других	2	2
122	превращается в	3	2
123	тем самым	4	2
124	и по	2	2
125	отличие от	2	2
126	в таком	3	2
127	с ними	2	2
128	этот вопрос	3	2
129	их в	2	2
130	между тем	3	2
131	и от	4	2
132	в отличие	2	2
133	в искусстве	2	2
134	при помощи	2	2
135	и это	3	2
136	из этого	2	2
137	в чем	4	2
138	потому что	7	2
139	в которой	2	2
140	с ним	3	2
141	не могли	2	2
142	в плане	3	2
