N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	49
2	прежде всего	12	19
3	в его	5	18
4	не только	18	17
5	и его	5	17
6	и на	3	17
7	и не	18	15
8	в этом	20	15
9	в них	3	13
10	только в	3	13
11	но и	15	13
12	как и	13	11
13	как бы	8	11
14	в этой	7	10
15	для него	18	9
16	в нем	22	9
17	в сущности	2	8
18	отношение к	8	8
19	один из	5	7
20	жизни и	6	7
21	не может	15	7
22	то же	5	7
23	то что	5	6
24	во всех	2	6
25	так и	4	6
26	сказать что	3	6
27	и с	3	6
28	но он	11	6
29	точки зрения	2	6
30	так как	8	6
31	в творчестве	3	6
32	с его	4	5
33	никогда не	18	5
34	в своем	8	5
35	уже в	2	5
36	тот же	2	5
37	может быть	21	5
38	и потому	7	5
39	в своей	5	5
40	в духе	5	4
41	и во	3	4
42	в жизни	4	4
43	и к	7	4
44	в себе	10	4
45	том что	4	4
46	в своих	3	4
47	в этих	2	4
48	сих пор	3	4
49	этот процесс	2	4
50	до сих	3	4
51	отношения к	2	4
52	не было	11	4
53	а в	2	4
54	лишь в	2	4
55	тем что	3	4
56	с ним	3	4
57	но в	10	4
58	место в	2	3
59	связана с	7	3
60	жизни в	3	3
61	превращается в	2	3
62	человека и	7	3
63	на все	3	3
64	не был	2	3
65	что он	7	3
66	в том	3	3
67	да и	2	3
68	во всем	5	3
69	и перед	3	3
70	нельзя было	2	3
71	в самом	5	3
72	жизни это	4	3
73	ни в	3	3
74	со свободой	4	3
75	на земле	8	3
76	и все	5	3
77	и других	2	3
78	и вот	5	3
79	только с	3	3
80	менее всего	3	3
81	к нему	2	3
82	можно было	2	3
83	также и	4	3
84	духа и	3	3
85	о том	3	3
86	и это	5	3
87	человек в	3	2
88	связи с	2	2
89	сознания и	2	2
90	что в	4	2
91	мы еще	2	2
92	в нашем	7	2
93	думать что	4	2
94	та же	10	2
95	в отношении	5	2
96	и своего	2	2
97	он был	9	2
98	это и	3	2
99	но это	8	2
100	лишь как	3	2
101	что они	3	2
102	есть в	3	2
103	все что	4	2
104	связано с	3	2
105	ничего не	2	2
106	до конца	4	2
107	такого рода	2	2
108	природой и	3	2
109	у него	22	2
110	хотя и	2	2
111	в ней	11	2
112	к ней	2	2
113	была еще	2	2
114	еще в	2	2
115	себе и	2	2
116	в мире	7	2
117	по преимуществу	5	2
118	и за	2	2
119	вместе с	2	2
120	ее в	2	2
121	того как	3	2
122	того чтобы	4	2
123	и эта	2	2
124	так же	6	2
125	жизнь и	4	2
126	был для	2	2
127	тому как	2	2
128	себе в	2	2
129	подобно тому	2	2
130	на его	2	2
131	как к	2	2
132	в конце	5	2
133	еще вернемся	2	2
