N	2gram	Bakhtin_Fr_3	Problema
1	и в	40	30
2	в своей	6	22
3	то есть	18	21
4	то что	5	18
5	не только	13	18
6	том что	4	17
7	в этом	15	17
8	и даже	4	14
9	но и	11	13
10	таким образом	10	13
11	потому что	2	13
12	в том	8	12
13	в его	13	12
14	и не	13	12
15	также и	4	12
16	о том	4	12
17	в своем	7	11
18	у него	8	11
19	точки зрения	2	10
20	в этой	3	10
21	все же	2	9
22	который в	2	9
23	сказать что	3	9
24	но в	8	9
25	только в	3	9
26	и все	9	9
27	в конце	3	8
28	вовсе не	12	8
29	никак не	3	8
30	что он	2	7
31	у нас	4	7
32	как и	11	7
33	в дальнейшем	2	7
34	связи с	6	7
35	но не	2	7
36	может быть	9	7
37	вместе с	3	7
38	на землю	2	7
39	так и	3	7
40	до нас	7	7
41	в связи	5	7
42	мы находим	3	7
43	здесь не	3	7
44	с другой	2	6
45	прежде всего	16	6
46	можно сказать	2	6
47	и как	3	6
48	и для	5	6
49	как бы	3	6
50	в нем	5	6
51	что и	3	6
52	тут же	2	6
53	а в	3	6
54	и его	17	6
55	и на	8	6
56	так как	4	6
57	не менее	2	5
58	что в	12	5
59	в которой	2	5
60	в самом	6	5
61	и о	4	5
62	еще в	3	5
63	не может	3	5
64	в году	5	5
65	а не	5	5
66	и у	2	5
67	но он	2	5
68	он и	7	5
69	как раз	5	5
70	и с	8	5
71	еще и	2	4
72	в частности	3	4
73	как о	2	4
74	нового времени	2	4
75	ни в	4	4
76	об этом	3	4
77	но все	3	4
78	при этом	3	4
79	того же	2	4
80	было бы	4	4
81	и сам	2	4
82	не так	3	4
83	огонь и	2	4
84	и к	3	4
85	нас в	2	4
86	даже и	2	4
87	в себе	3	4
88	в то	6	4
89	далеко не	2	4
90	из этого	2	4
91	именно в	2	3
92	и другие	2	3
93	страдания и	2	3
94	еще более	4	3
95	в духе	7	3
96	и страдания	2	3
97	в ее	3	3
98	в начале	3	3
99	смысле слова	4	3
100	еще не	3	3
101	для того	3	3
102	он не	9	3
103	а также	4	3
104	жизнь в	3	3
105	в эпоху	8	3
106	тем же	2	3
107	к нему	2	3
108	в других	3	3
109	в ней	4	3
110	он в	2	3
111	в другом	3	3
112	в одном	7	3
113	в виду	7	3
114	только для	3	2
115	поэтому и	3	2
116	в них	9	2
117	том числе	3	2
118	хотя бы	2	2
119	как в	3	2
120	это не	2	2
121	уже в	2	2
122	один из	4	2
123	представление о	2	2
124	к этому	6	2
125	и был	2	2
126	здесь в	4	2
127	то же	7	2
128	как мы	10	2
129	он был	3	2
130	раз в	2	2
131	из всех	4	2
132	и сама	2	2
133	кроме того	3	2
134	до сих	4	2
135	в нашей	2	2
136	в большей	2	2
137	со всеми	5	2
138	он считает	2	2
139	находим и	2	2
140	жизни и	4	2
141	в данном	4	2
142	время это	2	2
143	на его	2	2
144	такого рода	3	2
145	конечно не	2	2
146	в заключение	4	2
147	за него	2	2
148	гораздо больше	2	2
149	в котором	2	2
150	я вас	3	2
151	отношению к	2	2
152	не к	2	2
153	из них	4	2
154	в первой	2	2
155	и до	8	2
156	все что	2	2
157	данном случае	2	2
158	отношение к	8	2
159	по отношению	3	2
160	этот образ	7	2
161	или же	2	2
162	все эти	8	2
163	и они	2	2
164	с помощью	2	2
165	мы не	2	2
166	они не	3	2
167	самом деле	3	2
168	он говорит	6	2
169	в значительной	3	2
170	того чтобы	4	2
171	свидетельствует о	2	2
172	форму и	2	2
173	можно было	3	2
174	больше чем	2	2
175	между тем	3	2
176	тем что	3	2
177	в таких	3	2
178	дело в	2	2
179	страха и	4	2
180	в области	4	2
181	сих пор	4	2
