N	3gram	Bakhtin_Pr_4	Marksizm
1	с точки зрения	9	13
2	не может быть	8	10
3	то же время	5	8
4	в то же	5	8
5	по отношению к	5	8
6	в том что	2	6
7	в самом деле	4	5
8	в большинстве случаев	8	5
9	но в то	2	5
10	той или иной	2	4
11	как если бы	2	4
12	в отношении к	2	4
13	как мы сказали	3	3
14	как мы уже	2	3
15	о том что	2	3
16	в отличие от	3	3
17	и не может	7	3
18	и не в	2	3
19	до сих пор	8	3
20	точки зрения своего	2	2
21	в узком смысле	2	2
22	более или менее	3	2
23	в системе языка	2	2
24	на чужую речь	4	2
25	выходят за пределы	2	2
26	на чужое слово	11	2
27	но и в	2	2
