N	2gram	Bakhtin_sl_2	RusskieA
1	и в	39	36
2	не только	24	22
3	что в	3	19
4	том что	5	19
5	в том	5	17
6	но и	21	16
7	так как	4	15
8	п в	2	13
9	и другие	2	13
10	в этом	16	12
11	это не	5	10
12	как мы	7	10
13	как и	6	10
14	и т	35	10
15	вместе с	2	10
16	и на	4	10
17	т д	2	9
18	а в	4	9
19	мы увидим	2	8
20	может быть	37	8
21	один из	5	8
22	о том	2	8
23	как это	3	8
24	что и	3	7
25	так и	15	7
26	и других	4	7
27	между тем	3	7
28	и не	22	6
29	для нас	5	6
30	при этом	7	6
31	в них	6	6
32	уже не	5	6
33	таким образом	8	6
34	мы не	2	6
35	все это	16	6
36	в виде	2	6
37	то что	2	6
38	этом случае	6	5
39	все же	6	5
40	как бы	7	5
41	с ними	5	5
42	как в	13	5
43	того как	2	5
44	как уже	2	4
45	одна из	4	4
46	еще не	7	4
47	связи с	3	4
48	и др	4	4
49	во всех	12	4
50	в некоторых	3	4
51	и их	5	4
52	в их	2	4
53	так в	2	4
54	не может	20	4
55	в связи	2	4
56	входит в	4	4
57	но это	3	4
58	только в	5	4
59	слова в	13	3
60	не менее	4	3
61	связанные с	4	3
62	в этих	7	3
63	в своем	6	3
64	но все	5	3
65	в одном	2	3
66	в свою	3	3
67	и к	6	3
68	на этом	3	3
69	на каждом	2	3
70	в основном	4	3
71	а также	3	3
72	не с	3	3
73	или на	2	3
74	то же	4	3
75	с точки	3	3
76	точки зрения	8	3
77	как например	2	3
78	то есть	26	3
79	далеко не	2	3
80	в области	2	3
81	борьбы с	3	2
82	не было	2	2
83	всех этих	4	2
84	и более	2	2
85	независимо от	2	2
86	могут быть	7	2
87	в нашем	2	2
88	его и	2	2
89	с этим	2	2
90	и потому	7	2
91	в различных	2	2
92	в нем	19	2
93	у него	3	2
94	его от	3	2
95	и как	3	2
96	в дальнейшем	2	2
97	и непосредственно	2	2
98	свою очередь	2	2
99	но не	6	2
100	быть и	3	2
101	в большинстве	6	2
102	в прошлом	2	2
103	до конца	17	2
104	далее в	2	2
105	она не	6	2
106	чем в	2	2
107	например в	5	2
108	к материалу	2	2
109	в ней	3	2
110	в его	7	2
111	и с	9	2
112	и другим	2	2
113	его как	2	2
114	но она	2	2
115	в свете	3	2
116	для этого	4	2
117	в особенности	3	2
118	все эти	6	2
119	можно говорить	2	2
120	а не	14	2
121	и для	5	2
122	мы наблюдаем	2	2
123	с ним	7	2
124	или в	2	2
125	хотя и	2	2
126	себя и	4	2
127	к ней	2	2
128	и связанные	2	2
129	и здесь	2	2
130	но в	6	2
131	как он	2	2
132	там где	6	2
133	большинстве случаев	5	2
134	в более	2	2
