N	3gram	Vygotskiy__2	VLabPisa
1	и т д	2	15
2	в этом отношении	5	13
3	и т п	8	9
4	с другой стороны	2	8
5	не может быть	8	8
6	в конечном счете	3	5
7	то же время	2	5
8	в то же	2	5
9	в художественном произведении	5	4
10	в том что	17	4
11	к тому что	2	3
12	в этой области	2	3
13	о том что	4	3
14	в конце концов	3	2
15	мы знаем что	4	2
16	до сих пор	5	2
17	и не может	2	2
18	во всяком случае	2	2
19	таким образом в	2	2
20	этой точки зрения	2	2
21	в том чтобы	3	2
22	которая не может	2	2
23	подобно тому как	2	2
24	можно было бы	4	2
25	для того чтобы	13	2
