N	2gram	Berdyaev_V_1	DiskursI
1	не только	2	28
2	в том	3	23
3	а не	7	22
4	том что	2	19
5	и в	16	16
6	как и	4	16
7	в этом	4	15
8	еще не	8	14
9	но и	5	14
10	прежде всего	2	11
11	но не	2	11
12	и не	20	11
13	в нем	4	9
14	так и	4	8
15	но в	3	8
16	в его	4	7
17	не было	3	7
18	только в	2	7
19	не в	3	7
20	к тому	3	5
21	как бы	5	5
22	в котором	4	5
23	в своей	3	5
24	то что	9	5
25	во всех	3	5
26	а с	2	5
27	а в	2	5
28	в себя	2	5
29	с его	3	4
30	что в	3	4
31	в них	3	4
32	что он	4	4
33	уже не	2	4
34	для него	2	4
35	в истории	8	4
36	лишь в	3	4
37	что не	4	4
38	потому что	4	4
39	между тем	2	4
40	могут быть	2	4
41	во мне	4	3
42	это не	2	3
43	что и	3	3
44	они и	2	3
45	один из	2	3
46	не с	2	3
47	хотя бы	3	3
48	как не	3	3
49	того что	5	3
50	тем что	2	3
51	и потому	7	3
52	мира в	2	3
53	и есть	4	2
54	никогда не	3	2
55	и во	2	2
56	и все	4	2
57	тем кто	2	2
58	хотя и	5	2
59	оно не	3	2
60	не есть	6	2
61	на том	2	2
62	в форме	2	2
63	и что	3	2
64	более чем	2	2
65	во всяком	2	2
66	на себя	5	2
