N	2gram	Kanaev_Sov_1	Literetu
1	и не	6	22
2	и в	7	16
3	при этом	3	15
4	не только	4	14
5	в этом	7	14
6	а не	3	12
7	может быть	12	12
8	в том	4	12
9	не в	3	10
10	такого рода	2	10
11	то же	3	9
12	не может	17	8
13	в этой	3	8
14	как бы	4	8
15	точки зрения	12	7
16	еще не	3	6
17	в его	2	6
18	в себе	3	6
19	это не	4	5
20	как и	6	5
21	в целом	4	5
22	вместе с	4	5
23	в отличие	2	5
24	а в	4	5
25	отличие от	2	5
26	из них	4	4
27	с одной	2	4
28	в одном	3	4
29	для его	2	3
30	отнюдь не	3	3
31	в третьем	2	3
32	прежде всего	5	3
33	совершенно не	2	3
34	и к	3	3
35	на его	2	3
36	в самом	2	3
37	жизни и	4	3
38	уже не	2	3
39	самом деле	2	3
40	и наконец	5	3
41	с точки	5	3
42	той же	2	3
43	в области	3	3
44	но в	3	3
45	что в	2	2
46	не менее	2	2
47	то ни	2	2
48	в конце	3	2
49	вопрос о	4	2
50	или иной	2	2
51	в нем	3	2
52	мы с	2	2
53	у нас	3	2
54	а на	2	2
55	в свою	2	2
56	было бы	3	2
57	со всеми	2	2
58	скажем в	2	2
59	все же	3	2
60	как мы	2	2
61	и даже	2	2
62	в живом	2	2
63	он в	3	2
64	же самое	2	2
65	в первом	3	2
66	и потому	3	2
