N	2gram	Medvedev_S_1	Narrotol
1	не только	3	32
2	может быть	2	25
3	но и	2	23
4	и в	3	19
5	в том	5	18
6	в этом	5	17
7	в частности	2	14
8	том что	2	14
9	не в	3	14
10	то что	2	11
11	в его	3	9
12	еще не	2	7
13	по отношению	2	7
14	отношению к	2	6
15	далеко не	2	5
16	то же	2	4
17	было бы	2	4
18	как бы	2	4
19	только в	2	4
20	что в	2	3
21	это и	2	3
22	как будто	2	3
23	должна быть	2	2
24	или даже	2	2
25	она может	2	2
26	по существу	2	2
27	и только	3	2
28	в результате	2	2
29	тем более	2	2
30	к которому	2	2
