N	3gram	Losev_Dial_3	Myslijsy
1	сами по себе	3	7
2	во всяком случае	2	7
3	в том что	3	7
4	по крайней мере	5	5
5	тем не менее	10	5
6	в то время	4	4
7	подобно тому как	4	4
8	сам по себе	5	4
9	мы не можем	2	3
10	на то что	3	3
11	не могут быть	2	3
12	и т д	23	3
13	с одной стороны	3	3
14	то время как	4	3
15	потому что его	2	2
16	само по себе	5	2
17	для того кто	3	2
18	то что мы	3	2
19	и то же	2	2
20	в сравнении с	3	2
21	в таком случае	10	2
22	не может быть	6	2
23	сама по себе	4	2
24	одно и то	2	2
25	с другой стороны	2	2
26	только тогда когда	3	2
