N	2gram	Tiupa_Lite_3	FransuaR
1	и в	16	49
2	то есть	5	32
3	прежде всего	3	19
4	в его	6	18
5	не только	14	17
6	и его	6	17
7	и на	2	17
8	и не	22	15
9	в этом	14	15
10	только в	7	13
11	но и	14	13
12	в году	5	13
13	как и	5	11
14	как бы	8	11
15	и т.п	6	11
16	в этой	8	10
17	в романе	3	9
18	для него	2	9
19	в нем	2	9
20	отношение к	2	8
21	все же	2	7
22	один из	2	7
23	жизни и	3	7
24	не может	8	7
25	то же	9	7
26	как мы	2	7
27	именно в	5	6
28	то что	12	6
29	же время	7	6
30	во всех	2	6
31	так и	9	6
32	и с	2	6
33	точки зрения	7	6
34	в то	9	6
35	с его	6	5
36	никогда не	4	5
37	в начале	4	5
38	но не	4	5
39	при этом	15	5
40	может быть	12	5
41	и потому	2	5
42	в своей	7	5
43	с точки	3	5
44	с другой	6	4
45	в жизни	8	4
46	и к	3	4
47	в себе	6	4
48	том что	8	4
49	в своих	2	4
50	отношения к	3	4
51	а в	5	4
52	лишь в	5	4
53	как на	3	4
54	в области	3	4
55	тем что	2	4
56	там где	3	4
57	но в	3	4
58	место в	4	3
59	с одной	4	3
60	о чем	3	3
61	жизни в	4	3
62	в одном	4	3
63	что он	5	3
64	же в	2	3
65	в ее	5	3
66	в г	3	3
67	в том	12	3
68	а затем	3	3
69	и перед	2	3
70	одной стороны	4	3
71	было бы	2	3
72	из них	4	3
73	несмотря на	2	3
74	в самом	3	3
75	наконец в	3	3
76	даже в	4	3
77	раз в	2	3
78	с ее	3	3
79	другой стороны	2	3
80	этом отношении	5	3
81	и вот	2	3
82	далеко не	2	3
83	о том	6	3
84	для которого	3	3
85	одного из	2	2
86	автора и	2	2
87	в противоположность	2	2
88	связи с	2	2
89	сознания и	2	2
90	что в	2	2
91	в качестве	5	2
92	вследствие этого	2	2
93	на то	2	2
94	вот в	2	2
95	xix века	2	2
96	можно сказать	2	2
97	по существу	4	2
98	перед лицом	4	2
99	до конца	4	2
100	еще не	6	2
101	со всеми	2	2
102	совершенно не	3	2
103	такого рода	10	2
104	вплоть до	2	2
105	одним из	4	2
106	хотя и	4	2
107	на страницах	2	2
108	еще в	3	2
109	в мире	16	2
110	вместе с	5	2
111	ее в	2	2
112	в ту	2	2
113	того чтобы	2	2
114	и даже	2	2
115	так же	2	2
116	тому как	3	2
117	подобно тому	2	2
118	на его	3	2
119	еще раз	2	2
120	в другом	6	2
121	и вовсе	2	2
122	в конце	2	2
123	здесь не	2	2
