N	2gram	Vinokur_Ku_3	FransuaR
1	и в	23	41
2	таким образом	9	19
3	в этом	16	15
4	как и	5	14
5	то же	6	13
6	все эти	7	13
7	в его	11	12
8	прежде всего	9	11
9	в том	22	11
10	как мы	5	11
11	так и	6	10
12	все это	2	10
13	в то	3	10
14	в качестве	2	9
15	не в	5	9
16	но и	3	9
17	в своем	4	9
18	что в	13	9
19	по существу	3	8
20	то что	4	8
21	но в	2	8
22	вовсе не	5	7
23	как бы	5	7
24	и не	10	7
25	все они	2	6
26	это не	3	6
27	ни в	3	6
28	с помощью	6	6
29	только в	6	6
30	о том	6	6
31	уже в	3	5
32	не только	17	5
33	и к	3	5
34	на этом	2	5
35	в ней	3	5
36	вместе с	2	5
37	что и	6	5
38	мы видели	3	5
39	как в	4	5
40	того как	7	5
41	а в	5	5
42	так же	2	5
43	точки зрения	23	5
44	потому что	12	5
45	том числе	2	4
46	что это	3	4
47	хотя и	5	4
48	и здесь	2	4
49	том что	11	4
50	но все	2	4
51	после того	6	4
52	слов и	5	4
53	было бы	16	4
54	в сущности	4	4
55	может быть	14	4
56	он не	3	4
57	в виду	8	4
58	целый ряд	4	4
59	как я	2	4
60	должно быть	7	4
61	и с	3	4
62	ничего не	6	4
63	я не	5	3
64	и есть	5	3
65	в отношении	3	3
66	того же	4	3
67	в одном	2	3
68	это в	2	3
69	но это	5	3
70	такой же	2	3
71	в своей	4	3
72	кроме того	2	3
73	при этом	6	3
74	в область	2	3
75	является и	2	3
76	что он	6	3
77	в их	6	3
78	в свете	2	3
79	не может	6	3
80	не было	4	3
81	мы найдем	2	3
82	в той	4	3
83	тем самым	4	3
84	с точки	16	3
85	не имеет	3	3
86	той же	3	3
87	можно было	11	3
88	нас в	3	3
89	тем что	5	3
90	как о	3	3
91	не знает	2	3
92	его в	2	3
93	так сказать	2	3
94	так как	9	3
95	учение о	2	2
96	что все	2	2
97	именно в	3	2
98	в этих	2	2
99	здесь как	2	2
100	на самом	3	2
101	есть не	3	2
102	к тому	3	2
103	было как	2	2
104	и выражений	2	2
105	отношению к	2	2
106	слово это	2	2
107	и как	2	2
108	более или	2	2
109	всего этого	3	2
110	по своему	2	2
111	точка зрения	4	2
112	отношение к	3	2
113	тот же	6	2
114	еще не	9	2
115	того что	11	2
116	своего рода	2	2
117	на том	2	2
118	а также	4	2
119	все те	2	2
120	дело не	2	2
121	не есть	3	2
122	время в	3	2
123	в процессе	3	2
124	или менее	2	2
125	по отношению	3	2
126	в связи	5	2
127	в особенности	2	2
128	еще более	2	2
129	не просто	2	2
130	и вот	3	2
131	а не	11	2
132	свое время	2	2
133	уже не	8	2
134	пока он	3	2
135	что значит	4	2
136	мы не	3	2
137	в данном	7	2
138	в результате	3	2
139	во всяком	2	2
140	может иметь	3	2
141	что есть	2	2
142	этой системы	2	2
143	в которых	3	2
144	также и	5	2
145	далеко не	5	2
146	как он	2	2
147	в свое	2	2
148	в чем	5	2
149	по адресу	2	2
150	в области	14	2
151	мы имеем	2	2
