N	3gram	Voloshinov_1	Myshleni
1	с точки зрения	5	18
2	для того чтобы	7	15
3	с самого начала	4	8
4	о том что	2	6
5	не может быть	2	5
6	вместе с тем	2	5
7	можно сказать что	2	4
8	в этом отношении	2	4
9	внутренней речи и	2	4
10	смысле этого слова	2	3
11	к тому что	2	3
12	в свою очередь	4	3
13	то же самое	4	3
14	и тем самым	3	3
15	и той же	2	2
16	в значительной степени	2	2
17	в зависимости от	5	2
18	одно и то	3	2
19	в то же	9	2
20	то же время	7	2
21	что перед нами	2	2
22	и то же	3	2
23	одной и той	2	2
24	прежде всего в	3	2
