N	2gram	Kanaev_Sov_1	Problemy
1	и не	6	31
2	и в	7	29
3	в его	2	24
4	может быть	12	24
5	а не	3	22
6	в этом	7	22
7	как бы	4	19
8	в нем	3	19
9	точки зрения	12	19
10	не только	4	15
11	то же	3	14
12	уже не	2	13
13	с точки	5	13
14	как и	6	12
15	не может	17	12
16	таким образом	11	12
17	в одном	3	10
18	в самом	2	10
19	это не	4	9
20	все же	3	9
21	все эти	5	9
22	в каждом	8	8
23	что в	2	8
24	в том	4	8
25	прежде всего	5	7
26	не в	3	7
27	а в	4	7
28	в себе	3	7
29	но в	3	7
30	все это	3	6
31	точку зрения	4	6
32	в конце	3	6
33	не могут	2	6
34	в целом	4	6
35	что она	3	6
36	самом деле	2	6
37	могут быть	2	6
38	и потому	3	6
39	так как	4	6
40	было бы	3	5
41	но все	2	5
42	зависимости от	4	5
43	еще не	3	5
44	у него	2	5
45	в зависимости	4	5
46	той же	2	5
47	во всяком	2	5
48	ничего не	6	5
49	в результате	6	4
50	из одного	2	4
51	как мы	2	4
52	и наконец	5	4
53	их в	4	4
54	в этой	3	4
55	так сказать	2	4
56	что же	5	4
57	уже в	3	3
58	для его	2	3
59	одна из	3	3
60	не дает	2	3
61	и пр	2	3
62	всяком случае	2	3
63	он может	3	3
64	на котором	2	3
65	приводит к	2	3
66	отличается от	3	3
67	он в	3	3
68	мы должны	4	3
69	если же	2	3
70	самого начала	3	2
71	то ни	2	2
72	и во	2	2
73	вопрос о	4	2
74	в условиях	5	2
75	и к	3	2
76	жизни и	4	2
77	мы видим	2	2
78	при этом	3	2
79	ведь это	3	2
80	тот же	2	2
81	друг с	2	2
82	всех элементов	3	2
83	все те	2	2
84	в один	2	2
85	на его	2	2
86	то и	2	2
87	и даже	2	2
88	или же	2	2
89	и что	2	2
90	из которых	2	2
91	на этот	2	2
92	и есть	2	2
93	в которой	2	2
94	с этим	2	2
