N	3gram	Tiupa_Anal_1	Myshleni
1	для того чтобы	3	14
2	по отношению к	5	12
3	в том что	9	11
4	с точки зрения	4	9
5	в этом отношении	2	5
6	то же самое	2	4
7	о том что	3	4
8	из того что	3	4
9	подобно тому как	3	4
10	и того же	2	3
11	мере в какой	2	3
12	состоит в том	3	3
13	с одной стороны	3	3
14	одного и того	2	3
15	в той мере	2	3
16	той мере в	2	3
17	не может быть	16	3
18	именно в этом	2	2
19	в отличие от	6	2
20	том что он	2	2
21	в свое время	2	2
22	в самом деле	2	2
23	и не может	4	2
24	с другой стороны	2	2
