N	3gram	Vinokur_St_1	Vvedenie
1	и т д	21	36
2	для того чтобы	10	20
3	о том что	11	12
4	в том что	17	12
5	но также и	4	9
6	тем не менее	2	8
7	не может быть	5	8
8	то же время	4	6
9	в самом деле	5	6
10	в то же	4	6
11	до сих пор	7	6
12	в применении к	3	6
13	мере в какой	2	5
14	т д но	4	5
15	и т п	9	5
16	с другой стороны	6	5
17	т е в	2	4
18	в данном случае	6	4
19	по крайней мере	2	4
20	не только в	4	4
21	с одной стороны	2	4
22	можно было бы	8	4
23	в этом случае	2	4
24	в этом отношении	7	4
25	и в этом	3	4
26	во всяком случае	6	4
27	по отношению к	3	4
28	так или иначе	2	4
29	и в том	2	3
30	в свое время	2	3
31	и в самом	3	3
32	но в то	2	3
33	том отношении что	2	3
34	в том отношении	4	3
35	вопрос о том	2	3
36	заключается в том	3	3
37	но все же	3	3
38	вовсе не только	2	2
39	а также и	2	2
40	по этому поводу	2	2
41	дело в том	4	2
42	что же касается	3	2
43	с точки зрения	8	2
44	не в том	2	2
45	вовсе не в	2	2
46	в данном отношении	5	2
47	хотя бы и	2	2
48	по меньшей мере	3	2
49	может быть и	2	2
50	на вопрос о	2	2
51	тем или иным	3	2
52	что в нем	2	2
53	жизни и творчества	2	2
