N	2gram	Trubetskoy_1	VeschiIm
1	не может	4	33
2	не только	10	31
3	может быть	10	29
4	и не	8	28
5	и в	26	26
6	то что	7	24
7	а не	5	20
8	в смысле	4	15
9	только в	4	14
10	и что	4	13
11	того что	3	13
12	что это	3	12
13	но и	9	12
14	сказать что	2	12
15	все же	6	12
16	таким образом	22	11
17	то же	4	10
18	уже не	3	10
19	как бы	12	10
20	и больше	2	10
21	потому что	7	10
22	что мы	2	10
23	в том	11	9
24	в самом	4	9
25	бы то	2	9
26	и с	10	9
27	ни было	2	9
28	прежде всего	2	9
29	то ни	2	9
30	на то	2	8
31	в себе	6	8
32	и это	2	8
33	что оно	4	7
34	в то	4	7
35	так как	9	7
36	том что	7	7
37	с другими	4	7
38	в этом	15	7
39	ли это	2	7
40	так что	3	6
41	и как	3	6
42	что в	9	6
43	для него	3	6
44	но если	2	6
45	жизни и	2	6
46	отличается от	2	6
47	и только	4	6
48	в результате	3	6
49	точки зрения	13	6
50	но в	7	6
51	по крайней	5	6
52	ясно что	3	6
53	крайней мере	5	6
54	относится к	2	6
55	не менее	3	5
56	в отношении	6	5
57	с этой	3	5
58	тем не	3	5
59	не в	2	5
60	еще не	2	5
61	из себя	2	5
62	для этого	2	5
63	а в	4	5
64	с тем	18	5
65	если бы	3	5
66	в свою	2	5
67	но не	8	5
68	того же	6	5
69	и для	5	5
70	в своем	3	4
71	с другой	8	4
72	же время	2	4
73	из них	7	4
74	и даже	3	4
75	о том	6	4
76	и все	2	4
77	так чтобы	2	4
78	во всех	2	4
79	и о	3	4
80	и потому	6	4
81	что и	6	4
82	быть и	2	4
83	с точки	6	4
84	то или	2	4
85	есть как	2	3
86	никогда не	5	3
87	что именно	2	3
88	можно сказать	3	3
89	к тому	6	3
90	несмотря на	6	3
91	более или	5	3
92	как о	3	3
93	в нем	4	3
94	отношение к	5	3
95	все это	6	3
96	можно только	2	3
97	мы имеем	2	3
98	тогда когда	2	3
99	перестает быть	2	3
100	но когда	2	3
101	в одном	3	3
102	один из	2	3
103	что он	4	3
104	тот же	2	3
105	вместе с	15	3
106	так и	6	3
107	или менее	5	3
108	и тогда	4	3
109	а с	7	3
110	того чтобы	5	3
111	хотя бы	3	3
112	ее с	2	3
113	может ли	2	2
114	на все	2	2
115	в самой	2	2
116	но все	7	2
117	ярко в	2	2
118	и нет	3	2
119	когда же	2	2
120	и если	3	2
121	в виду	2	2
122	так или	3	2
123	в разных	2	2
124	этой точки	2	2
125	так же	5	2
126	а так	3	2
127	раз она	2	2
128	то есть	4	2
129	ничем не	4	2
130	мы можем	2	2
131	превращается в	2	2
132	не с	2	2
133	в силу	5	2
134	признать что	2	2
135	в качестве	3	2
136	он не	4	2
137	когда он	3	2
138	приводит к	2	2
139	если не	2	2
140	для того	5	2
141	или иначе	3	2
142	во всяком	6	2
143	и таким	3	2
144	не потому	2	2
