N	2gram	Nazirov_Vr_1	EvropaiC
1	таким образом	2	32
2	в том	3	31
3	и в	8	24
4	том что	3	20
5	не может	2	18
6	то что	7	17
7	может быть	4	15
8	все же	6	15
9	точки зрения	2	13
10	в своем	3	12
11	в этом	8	12
12	все это	4	11
13	между тем	5	11
14	мы знаем	2	10
15	как бы	4	10
16	на то	3	9
17	при этом	4	9
18	как и	6	9
19	что в	7	9
20	так же	4	8
21	и все	7	8
22	с точки	2	8
23	не менее	2	7
24	но и	7	7
25	и не	5	7
26	и что	8	7
27	о том	4	7
28	что он	4	7
29	в этой	2	6
30	несмотря на	4	6
31	с ним	4	6
32	еще не	2	6
33	тогда как	2	6
34	в мире	2	6
35	вместе с	2	6
36	столь же	2	5
37	у него	5	5
38	и с	6	5
39	его в	3	5
40	но в	6	5
41	к этому	3	5
42	в то	5	5
43	в его	3	5
44	не только	9	5
45	в себе	2	5
46	далеко не	3	5
47	никогда не	2	4
48	в конце	3	4
49	одним из	3	4
50	отношение к	2	4
51	из них	2	4
52	и то	2	4
53	в одну	2	4
54	связи с	3	4
55	том же	2	4
56	он не	3	4
57	то же	5	4
58	а с	2	4
59	в в	2	4
60	и у	3	4
61	же как	2	3
62	для нас	4	3
63	в нем	6	3
64	целый ряд	4	3
65	а в	2	3
66	это не	4	3
67	в начале	6	3
68	в истории	4	3
69	при помощи	2	3
70	в эти	2	3
71	тем более	2	3
72	в связи	3	3
73	и это	2	3
74	же не	2	3
75	что у	3	2
76	для него	2	2
77	же время	5	2
78	в свою	2	2
79	к ним	2	2
80	в среде	2	2
81	в ней	4	2
82	в виду	4	2
83	в котором	6	2
84	и уже	3	2
85	он тоже	2	2
86	в глазах	2	2
87	но как	2	2
88	не было	5	2
89	отнюдь не	2	2
90	давно уже	3	2
91	в них	2	2
92	на первый	2	2
93	одна из	2	2
94	о которой	2	2
95	и ее	2	2
96	в эту	2	2
