N	2gram	Potebnia_M_4	VelikijI
1	и не	18	20
2	и в	23	16
3	то что	29	9
4	так как	14	9
5	еще не	3	8
6	в истории	4	8
7	и потому	10	7
8	а не	12	7
9	человека и	3	6
10	не есть	9	6
11	в мире	2	5
12	хотя и	5	5
13	как бы	5	5
14	но и	11	5
15	все это	5	5
16	что есть	3	5
17	того что	14	5
18	и есть	3	4
19	что все	4	4
20	в образе	2	4
21	и я	2	4
22	что он	4	4
23	в нем	7	4
24	как и	14	4
25	все что	2	4
26	что мы	10	4
27	в котором	4	4
28	так и	6	4
29	мы хотим	2	4
30	что не	6	4
31	потому что	33	4
32	в этом	23	4
33	в ней	2	4
34	говорить о	5	4
35	и все	4	4
36	в его	5	4
37	что в	17	3
38	в этих	3	3
39	в них	3	3
40	превращается в	2	3
41	в том	23	3
42	не в	11	3
43	но это	3	3
44	за ним	2	3
45	что я	11	3
46	тот же	2	3
47	и мы	5	3
48	к тому	3	3
49	никогда не	3	3
50	оно не	2	3
51	то это	8	3
52	что и	7	3
53	бы и	5	3
54	тому что	2	3
55	не было	12	3
56	и они	2	3
57	лишь в	3	3
58	и что	7	3
59	не имеет	5	3
60	хотя бы	4	3
61	и для	2	3
62	должно быть	5	3
63	тех которые	2	3
64	их в	3	3
65	в первый	2	3
66	все эти	3	3
67	нет ничего	3	3
68	но в	8	3
69	что от	2	2
70	не могут	2	2
71	до того	3	2
72	с тем	7	2
73	давно уже	3	2
74	это не	7	2
75	его к	2	2
76	есть уже	4	2
77	для нас	14	2
78	да и	4	2
79	том что	12	2
80	мы и	2	2
81	когда я	7	2
82	от него	2	2
83	конечно не	2	2
84	для него	5	2
85	того чтобы	4	2
86	не только	10	2
87	один из	2	2
88	но мы	2	2
89	не с	2	2
90	и т	7	2
91	не будет	3	2
92	на том	2	2
93	т д	3	2
94	все равно	3	2
95	тем что	10	2
96	мы не	8	2
97	уже не	3	2
98	более чем	3	2
99	не так	2	2
100	для человека	4	2
101	а в	5	2
102	с ним	5	2
103	можно было	2	2
104	духа и	2	2
105	никогда еще	2	2
106	я говорю	3	2
107	и то	5	2
108	между тем	9	2
109	могут быть	7	2
110	только в	15	2
111	и это	2	2
112	во всяком	5	2
113	которые не	2	2
114	а между	4	2
