N	2gram	Propp_Isto_2	TeoriaLi
1	не только	18	18
2	в качестве	3	17
3	и не	11	16
4	а в	12	14
5	и в	15	13
6	состоит в	2	13
7	может быть	17	12
8	так и	5	12
9	представляет собой	5	11
10	при этом	4	11
11	в этом	11	11
12	в том	6	11
13	но не	2	10
14	а не	5	10
15	и его	3	10
16	в его	6	9
17	то же	10	9
18	что в	12	8
19	отношению к	3	8
20	но и	14	8
21	по отношению	3	8
22	в себе	4	7
23	том что	7	7
24	только в	6	7
25	как это	3	7
26	еще не	9	6
27	как бы	6	6
28	в русской	5	6
29	но в	6	6
30	а также	2	5
31	как и	2	5
32	не в	7	5
33	в нем	7	5
34	как в	5	5
35	он не	8	5
36	тем самым	2	5
37	с другой	2	5
38	мы имеем	15	5
39	не столько	2	4
40	ни в	2	4
41	то что	12	4
42	в их	3	4
43	приводит к	2	4
44	не может	5	4
45	сказать что	2	4
46	но он	4	4
47	и ее	2	4
48	не знает	2	4
49	слова в	2	3
50	перед нами	2	3
51	и др	4	3
52	никогда не	15	3
53	в этих	11	3
54	он должен	2	3
55	прежде всего	5	3
56	того что	3	3
57	мог бы	3	3
58	например в	2	3
59	не все	2	3
60	с ее	2	3
61	другой стороны	2	3
62	так в	3	3
63	таким образом	7	3
64	а с	2	3
65	именно в	2	3
66	в другом	9	3
67	и что	6	3
68	и по	2	3
69	или в	2	3
70	и то	2	3
71	потому что	9	3
72	в этой	4	3
73	его в	10	3
74	все эти	4	3
75	к которому	5	3
76	я не	2	2
77	могут быть	2	2
78	и одной	2	2
79	себя и	2	2
80	это не	2	2
81	что он	24	2
82	к тому	5	2
83	об этом	11	2
84	что они	10	2
85	одной стороны	3	2
86	в глаза	2	2
87	одной из	4	2
88	мы в	2	2
89	здесь мы	3	2
90	в виду	2	2
91	к нему	5	2
92	принадлежит к	2	2
93	во всех	2	2
94	вместе с	7	2
95	дело не	4	2
96	а именно	3	2
97	здесь не	2	2
98	и для	2	2
99	с одной	4	2
100	в себя	3	2
101	говорит что	3	2
102	так же	13	2
103	право на	3	2
104	роль в	3	2
105	их в	2	2
106	у него	4	2
107	и здесь	9	2
108	могла бы	2	2
109	как будто	3	2
110	о том	3	2
111	и это	3	2
112	в которой	2	2
