N	3gram	Vygotskiy__5	StatiiOP
1	в том что	14	16
2	о том что	6	11
3	в этом отношении	3	9
4	и т д	3	6
5	к тому что	6	5
6	до сих пор	5	5
7	вместе с тем	3	5
8	для того чтобы	19	5
9	обратить внимание на	2	4
10	тот факт что	4	4
11	с самого начала	3	3
12	с другой стороны	5	3
13	так же как	2	3
14	иметь в виду	3	3
15	вопрос о том	2	3
16	и т п	3	3
17	то что в	2	2
18	в отличие от	2	2
19	сами по себе	2	2
20	то что он	3	2
21	по этому поводу	4	2
22	в самом деле	5	2
23	на то что	16	2
24	с точки зрения	2	2
25	не только не	4	2
26	с тем что	3	2
27	принять во внимание	2	2
