N	2gram	Berdyaev_M_2	KulturaY
1	потому что	12	25
2	и в	46	23
3	т е	4	22
4	не только	18	20
5	в том	3	19
6	в этом	20	18
7	и не	18	16
8	так как	8	15
9	может быть	21	15
10	точки зрения	2	14
11	если бы	3	12
12	у нас	11	12
13	в самом	5	12
14	том что	4	11
15	того чтобы	4	11
16	но в	10	11
17	в русском	4	10
18	что в	4	10
19	по себе	2	10
20	а не	13	10
21	вопрос о	6	9
22	в сущности	2	9
23	то что	5	9
24	для того	5	9
25	хотя бы	7	9
26	можно было	2	9
27	не может	15	9
28	прежде всего	12	8
29	не в	9	8
30	уже не	4	8
31	и что	2	8
32	что это	6	7
33	в нашем	7	7
34	но и	15	7
35	и с	3	7
36	это не	5	6
37	да и	2	6
38	в этой	7	6
39	что не	2	6
40	вопроса о	4	6
41	то же	5	6
42	между тем	2	6
43	и на	3	6
44	я не	5	5
45	что все	5	5
46	что он	7	5
47	тот же	2	5
48	в его	5	5
49	один из	5	5
50	должен быть	4	5
51	вместе с	2	5
52	что же	2	5
53	и вот	5	5
54	лишь в	2	5
55	и здесь	6	5
56	только в	3	5
57	также и	4	5
58	можно ли	3	4
59	в них	3	4
60	бы и	5	4
61	к тому	5	4
62	ни в	3	4
63	должно быть	2	4
64	от того	3	4
65	хотя и	2	4
66	как бы	8	4
67	в нем	22	4
68	так же	6	4
69	не было	11	4
70	не имеет	4	4
71	сказать что	3	4
72	в конце	5	4
73	ничего не	2	4
74	так и	4	4
75	чем в	2	3
76	на этом	2	3
77	уже в	2	3
78	не надо	2	3
79	у него	22	3
80	для этого	4	3
81	это и	3	3
82	но это	8	3
83	в которые	2	3
84	до конца	4	3
85	этого вопроса	2	3
86	связи с	2	3
87	но для	2	3
88	в ней	11	3
89	он не	10	3
90	в сфере	2	3
91	что и	4	3
92	что она	5	3
93	как в	7	3
94	не знает	9	3
95	те же	5	3
96	того что	6	3
97	вот почему	2	3
98	а в	2	3
99	и его	5	3
100	тем что	3	3
101	и это	5	3
102	есть в	3	3
103	в атмосфере	2	2
104	в отношении	5	2
105	же как	3	2
106	сознания и	2	2
107	и есть	8	2
108	никогда не	18	2
109	что у	4	2
110	оно не	2	2
111	и от	3	2
112	и все	5	2
113	на все	3	2
114	не всегда	2	2
115	что они	3	2
116	теряет свою	3	2
117	и потому	7	2
118	в обычном	2	2
119	нельзя было	2	2
120	смысле слова	3	2
121	в свою	4	2
122	как будто	2	2
123	после того	2	2
124	она не	8	2
125	и если	2	2
126	по преимуществу	5	2
127	он уже	2	2
128	же и	2	2
129	к нему	2	2
130	превращается в	2	2
131	в своей	5	2
132	есть явление	2	2
133	в своем	8	2
134	которое было	2	2
135	того как	3	2
136	и для	7	2
137	что за	2	2
138	все равно	3	2
139	достоевского и	2	2
140	как и	13	2
141	стоит в	2	2
142	чтобы не	3	2
143	должны быть	4	2
144	той же	3	2
145	от этого	2	2
146	в своих	3	2
147	как у	2	2
148	революции и	6	2
149	отношения к	2	2
