N	2gram	Propp_Russ_2	Problemy
1	и в	29	35
2	как бы	18	31
3	но в	5	19
4	не может	5	18
5	как и	11	18
6	то же	4	15
7	и все	4	15
8	но и	8	14
9	может быть	13	14
10	все это	10	14
11	в этом	11	14
12	к нему	4	13
13	с другим	2	13
14	прежде всего	2	12
15	и с	10	12
16	в то	2	11
17	не в	4	10
18	не только	10	10
19	то что	5	10
20	на самом	2	9
21	потому что	5	8
22	все же	2	8
23	как мы	3	8
24	и для	2	8
25	на них	4	7
26	так же	4	7
27	а в	9	7
28	еще не	6	7
29	в виде	4	7
30	там где	2	7
31	таким образом	6	7
32	что в	22	6
33	и что	5	6
34	и на	6	6
35	но не	5	6
36	в том	22	5
37	так что	4	5
38	в глаза	2	5
39	во время	12	5
40	как в	7	5
41	и то	2	5
42	никогда не	2	4
43	с другой	2	4
44	та же	2	4
45	до конца	3	4
46	между тем	3	4
47	но он	3	4
48	в эту	3	4
49	его в	8	4
50	так как	13	4
51	в них	4	4
52	так чтобы	2	4
53	во всем	2	4
54	еще в	2	4
55	в своей	2	4
56	а не	4	4
57	тем что	3	4
58	что это	3	4
59	а он	2	3
60	и от	3	3
61	совсем не	2	3
62	в него	2	3
63	в виду	2	3
64	из них	4	3
65	в форме	2	3
66	все эти	3	3
67	того что	3	3
68	должно быть	2	3
69	это не	5	3
70	в котором	3	3
71	с тем	6	3
72	с этим	2	3
73	в ее	3	3
74	это и	2	3
75	том что	22	3
76	было бы	3	3
77	во всех	3	3
78	что и	2	3
79	а с	2	3
80	уже не	4	3
81	не менее	2	2
82	в этих	3	2
83	для этого	5	2
84	о них	2	2
85	следующий за	2	2
86	с этой	2	2
87	это в	2	2
88	вопрос о	4	2
89	что на	2	2
90	на этом	3	2
91	что с	2	2
92	при этом	6	2
93	на нее	6	2
94	мы видели	7	2
95	и по	3	2
96	тому как	3	2
97	каждый из	2	2
98	в которых	4	2
99	их в	4	2
100	к ней	2	2
101	о том	9	2
102	иной характер	2	2
103	в этот	10	2
104	будто бы	5	2
105	он есть	2	2
106	а затем	4	2
107	должна была	5	2
108	здесь в	2	2
109	друг друга	3	2
110	как можно	2	2
111	вместе с	6	2
112	в самый	2	2
113	говорит о	2	2
114	так в	2	2
115	в отличие	3	2
116	жизнь и	2	2
117	и как	2	2
118	в которой	2	2
119	или в	7	2
120	можно было	2	2
121	с другими	3	2
122	пока еще	2	2
123	подобно тому	3	2
124	за ним	3	2
125	из этого	2	2
126	отличие от	3	2
