N	2gram	Savitsky_P_1	PoTuStor
1	может быть	5	17
2	и в	14	16
3	и пр	5	12
4	прежде всего	3	9
5	в этом	10	9
6	и с	2	8
7	точки зрения	3	8
8	не может	4	8
9	не только	17	7
10	и это	2	6
11	и к	4	6
12	с точки	3	6
13	я и	3	6
14	как бы	4	5
15	в нем	3	4
16	отнюдь не	2	4
17	но и	6	4
18	все это	2	4
19	хотя бы	8	4
20	и не	12	4
21	с ними	3	4
22	только в	7	4
23	но в	9	4
24	в его	2	4
25	по сравнению	2	3
26	что в	4	3
27	и есть	2	3
28	во всех	2	3
29	могут быть	3	3
30	отношения к	2	3
31	и вот	2	3
32	в том	9	3
33	а в	4	3
34	том что	4	3
35	и как	3	3
36	то что	4	3
37	в общем	2	3
38	в области	11	3
39	и потому	4	3
40	не менее	2	2
41	в частности	2	2
42	в них	2	2
43	во всей	2	2
44	с этим	2	2
45	в жизни	2	2
46	то же	9	2
47	быть может	6	2
48	и других	2	2
49	сводится к	3	2
50	мы не	3	2
51	на этих	2	2
52	что мы	3	2
53	для нас	2	2
54	есть в	2	2
55	говорить о	2	2
56	в начале	2	2
57	в пределах	8	2
58	было бы	6	2
59	и мы	2	2
60	и о	5	2
