N	2gram	Bakhtin_Pr_2	StatiiOP
1	и в	43	44
2	в том	6	36
3	и т	13	30
4	что в	4	30
5	том что	2	29
6	т д	4	21
7	в этом	13	21
8	вовсе не	5	19
9	то что	7	18
10	не только	11	18
11	было бы	5	17
12	а в	5	17
13	о том	5	17
14	и не	29	16
15	а не	7	16
16	т е	26	15
17	может быть	23	15
18	как в	2	13
19	можно было	3	13
20	не в	11	12
21	в первой	2	12
22	у нас	2	11
23	самом деле	5	11
24	точки зрения	13	11
25	что он	13	10
26	но и	14	10
27	но в	10	10
28	только в	4	10
29	в отношении	3	9
30	с другой	4	9
31	если бы	3	9
32	в то	7	9
33	как и	14	9
34	того что	2	9
35	т п	9	9
36	также и	3	9
37	так и	3	9
38	в его	10	9
39	например в	2	8
40	во всех	4	8
41	все же	3	8
42	из них	2	8
43	не может	18	8
44	и его	8	8
45	это не	3	8
46	с точки	8	8
47	но ведь	5	8
48	я не	4	7
49	прежде всего	10	7
50	в самом	7	7
51	для нас	2	7
52	сих пор	7	7
53	до сих	7	7
54	другой стороны	3	7
55	таким образом	5	7
56	сказать что	2	7
57	из этих	2	6
58	так что	5	6
59	но это	4	6
60	для него	8	6
61	что и	3	6
62	в своей	4	6
63	что же	7	6
64	в той	5	6
65	при чем	4	6
66	во всяком	2	6
67	дело в	2	6
68	хотя бы	2	6
69	не менее	3	5
70	никогда не	9	5
71	была бы	2	5
72	такой же	3	5
73	так же	2	5
74	совершенно не	4	5
75	в котором	6	5
76	в нем	12	5
77	в целом	2	5
78	все это	5	5
79	той же	3	5
80	то же	8	5
81	и даже	3	5
82	в слове	5	5
83	в которых	2	5
84	и то	2	5
85	тем что	3	5
86	могут быть	3	5
87	все эти	5	5
88	так как	4	5
89	там где	4	5
90	и очень	2	4
91	что это	2	4
92	это слово	5	4
93	вопрос о	2	4
94	бы и	2	4
95	же время	5	4
96	но все	2	4
97	и что	5	4
98	же и	4	4
99	как раз	4	4
100	как бы	22	4
101	на то	5	4
102	еще более	2	4
103	что у	2	4
104	этот вопрос	4	4
105	что так	3	3
106	а с	2	3
107	во время	4	3
108	для себя	2	3
109	и с	5	3
110	и так	2	3
111	в конце	2	3
112	должна быть	3	3
113	в каждом	11	3
114	ни в	2	3
115	он был	3	3
116	да и	5	3
117	об этом	2	3
118	но не	5	3
119	того же	3	3
120	и без	2	3
121	еще не	9	3
122	кажется что	3	3
123	что не	2	3
124	и для	3	3
125	даже в	3	3
126	то это	2	3
127	его жизни	2	3
128	отношению к	5	3
129	из истории	2	3
130	по отношению	5	3
131	и только	3	3
132	в виде	3	3
133	лишь в	8	3
134	должны быть	2	3
135	на этот	4	3
136	тем же	2	3
137	в таком	2	3
138	в результате	4	3
139	ведь и	7	3
140	в другом	7	3
141	между тем	3	3
142	с этим	2	3
143	уже в	2	2
144	бы не	2	2
145	а как	4	2
146	но на	2	2
147	это место	2	2
148	в этих	6	2
149	в своем	4	2
150	превращается в	2	2
151	в такой	2	2
152	на свой	6	2
153	быть в	2	2
154	что на	2	2
155	который не	2	2
156	по существу	3	2
157	есть в	3	2
158	при этом	6	2
159	быть и	2	2
160	то время	2	2
161	чем у	3	2
162	она не	3	2
163	и сам	7	2
164	со всеми	3	2
165	не хочет	3	2
166	в сущности	9	2
167	в сторону	2	2
168	за пределы	3	2
169	но для	3	2
170	этого слова	2	2
171	тем не	2	2
172	в первом	2	2
173	отношение к	2	2
174	конечно не	2	2
175	отношения к	2	2
176	на него	3	2
177	без всякого	2	2
178	и их	3	2
179	целый ряд	2	2
180	для этого	2	2
181	это вовсе	2	2
182	ни одного	4	2
183	не была	3	2
184	мы не	4	2
185	ничего не	3	2
186	не знает	3	2
187	что этот	2	2
188	в своих	2	2
189	а то	2	2
190	их в	4	2
191	у него	6	2
192	ни на	3	2
193	он не	9	2
194	но он	4	2
195	в себе	5	2
196	и все	6	2
197	его в	3	2
198	и это	4	2
199	к нему	5	2
200	время как	2	2
201	то есть	4	2
