N	2gram	Propp_Isto_1	Narrotol
1	не только	12	26
2	а не	15	17
3	представляет собой	4	16
4	но и	10	15
5	в том	9	14
6	при этом	3	14
7	в качестве	5	14
8	и не	9	14
9	том что	7	13
10	и в	28	13
11	в этом	8	13
12	в частности	2	11
13	только в	11	11
14	может быть	25	10
15	к тому	6	9
16	так и	9	9
17	а в	7	9
18	то что	9	8
19	в себе	2	8
20	не может	15	8
21	не в	9	8
22	в рамках	2	6
23	никогда не	14	6
24	в своем	5	6
25	прежде всего	10	6
26	вслед за	6	6
27	того что	4	6
28	в его	5	6
29	со стороны	2	6
30	героя в	5	6
31	все же	10	6
32	как бы	2	6
33	ничего не	2	6
34	но в	8	6
35	тем не	6	5
36	что он	10	5
37	одной стороны	4	5
38	он не	2	5
39	в котором	3	5
40	я не	3	5
41	и тем	2	5
42	в нем	2	5
43	отношению к	3	5
44	на него	4	5
45	как в	2	5
46	в форме	3	5
47	по отношению	3	5
48	в отличие	2	5
49	таким образом	8	5
50	с одной	4	5
51	с другой	6	5
52	отличие от	2	5
53	в то	3	5
54	о том	9	5
55	ответ на	2	5
56	перед нами	3	4
57	что это	8	4
58	не менее	6	4
59	если бы	8	4
60	об этом	4	4
61	как и	4	4
62	что в	12	4
63	для него	2	4
64	в ее	2	4
65	то же	12	4
66	в какой	3	4
67	уже не	3	4
68	в силу	5	4
69	в другом	3	4
70	в этой	6	4
71	как это	3	4
72	с ним	2	4
73	мы имеем	13	3
74	точку зрения	3	3
75	или даже	3	3
76	это не	7	3
77	что они	5	3
78	одна из	2	3
79	но не	5	3
80	как раз	2	3
81	и когда	2	3
82	в конечном	2	3
83	о нем	2	3
84	один из	4	3
85	в целом	2	3
86	между собой	4	3
87	то и	2	3
88	все эти	4	3
89	и даже	4	3
90	и по	3	3
91	и для	4	3
92	и его	3	3
93	сказать что	5	3
94	между тем	2	3
95	по своей	2	3
96	как правило	4	3
97	дело с	2	2
98	зависит от	2	2
99	же как	2	2
100	можно назвать	2	2
101	должен был	3	2
102	восходит к	5	2
103	однако в	2	2
104	превращается в	4	2
105	может оказаться	3	2
106	хотя бы	4	2
107	столь же	2	2
108	представления о	3	2
109	точно так	3	2
110	как уже	2	2
111	вовсе не	2	2
112	вследствие этого	2	2
113	и здесь	7	2
114	на то	4	2
115	к своему	2	2
116	не должен	5	2
117	для нас	13	2
118	говорит о	2	2
119	и т	25	2
120	в начале	3	2
121	как о	2	2
122	должна быть	5	2
123	еще не	7	2
124	было бы	7	2
125	мысль о	2	2
126	и он	3	2
127	ему в	3	2
128	что она	5	2
129	у меня	3	2
130	не вполне	2	2
131	однако не	2	2
132	не все	4	2
133	что и	6	2
134	себя в	2	2
135	в современной	3	2
136	подчеркнуть что	2	2
137	а с	2	2
138	именно в	3	2
139	они не	4	2
140	и что	10	2
141	по его	2	2
142	так же	7	2
143	мы не	10	2
144	ведет к	2	2
145	можно было	5	2
146	но это	4	2
147	вступает в	2	2
148	в ней	7	2
149	в виде	2	2
150	во время	3	2
151	видно что	6	2
152	могли бы	3	2
153	представляют собой	6	2
154	как он	2	2
155	здесь не	4	2
156	бы в	2	2
157	потому что	4	2
158	в области	2	2
159	к которому	5	2
160	том как	2	2
