N	2gram	Tiupa_Hudo_1	Myslijsy
1	потому что	5	49
2	и в	14	24
3	может быть	5	23
4	то что	8	20
5	и не	2	19
6	т с	4	18
7	а не	12	18
8	в том	12	18
9	что в	6	16
10	по себе	2	15
11	не только	12	15
12	при этом	12	13
13	было бы	6	13
14	не в	7	13
15	но не	3	12
16	не может	7	12
17	то же	9	12
18	если бы	3	11
19	мы не	2	11
20	только в	5	11
21	для него	10	10
22	в себе	11	10
23	так что	2	10
24	как в	8	10
25	тогда как	7	10
26	в нем	3	9
27	как бы	7	9
28	но и	5	9
29	то и	3	9
30	а только	4	8
31	а в	7	8
32	том что	16	8
33	и на	3	8
34	в этом	11	8
35	быть может	7	7
36	прежде всего	11	7
37	как и	9	7
38	того что	4	7
39	тем что	3	7
40	с этим	3	7
41	связи с	4	6
42	тем не	4	6
43	и т	11	6
44	не было	4	6
45	не имеет	2	6
46	между тем	8	6
47	в то	8	6
48	заметить что	2	6
49	слова в	2	5
50	не менее	5	5
51	столь же	4	5
52	с ним	4	5
53	же в	3	5
54	представляется нам	2	5
55	что не	2	5
56	на то	4	5
57	о том	12	5
58	так и	13	5
59	а и	2	5
60	или не	3	5
61	из них	4	5
62	только для	2	5
63	все же	3	5
64	в человеке	2	4
65	никогда не	6	4
66	мысли о	2	4
67	что он	9	4
68	уже не	7	4
69	такой же	3	4
70	одна из	2	4
71	и другое	2	4
72	до сих	2	4
73	еще не	7	4
74	в самом	4	4
75	как кажется	2	4
76	сих пор	2	4
77	заключает в	2	4
78	так в	2	4
79	и что	2	4
80	к другому	4	4
81	в таком	3	4
82	влияние на	2	4
83	они не	2	4
84	от него	3	4
85	как он	2	4
86	так сказать	2	4
87	но в	5	4
88	на вопрос	2	3
89	это не	7	3
90	и от	4	3
91	и все	4	3
92	хотя и	2	3
93	что на	2	3
94	например в	2	3
95	говоря о	2	3
96	в ней	4	3
97	если в	2	3
98	его в	3	3
99	в целом	2	3
100	на него	2	3
101	со стороны	3	3
102	что она	4	3
103	только что	4	3
104	т п	8	3
105	т д	3	3
106	человека в	6	3
107	и для	3	3
108	той же	2	3
109	об одном	2	3
110	с ними	2	3
111	в этих	5	3
112	том как	3	3
113	а то	2	2
114	и его	5	2
115	что у	3	2
116	превращается в	3	2
117	но он	3	2
118	не столько	2	2
119	и это	4	2
120	состоит в	2	2
121	вопрос о	2	2
122	с его	5	2
123	мы знаем	2	2
124	остановимся на	2	2
125	только потому	2	2
126	все эти	3	2
127	у него	9	2
128	же время	8	2
129	в действительности	4	2
130	в его	8	2
131	и потому	2	2
132	себя и	2	2
133	для нее	2	2
134	один из	4	2
135	не знаем	2	2
136	не имеют	3	2
137	все это	2	2
138	внимание на	2	2
139	в связи	3	2
140	а а	2	2
141	а с	2	2
142	на самом	2	2
143	в себя	2	2
144	от себя	2	2
145	самом деле	5	2
146	того чтобы	3	2
147	и по	3	2
148	должно быть	2	2
149	друг друга	5	2
150	по отношению	8	2
151	тому что	4	2
152	ничем не	3	2
153	в другом	2	2
154	о котором	2	2
155	на этом	3	2
156	и поэтому	2	2
