N	2gram	Berdyaev_O_1	slovoVRo
1	и в	19	39
2	может быть	11	37
3	и его	4	33
4	не только	11	24
5	и не	13	22
6	но и	13	21
7	не может	4	20
8	в нем	10	19
9	до конца	7	17
10	все это	6	16
11	в этом	12	16
12	так и	2	15
13	а не	11	14
14	человек и	4	14
15	в истории	2	11
16	не в	11	9
17	и с	2	9
18	прежде всего	9	8
19	с его	4	7
20	для него	5	7
21	еще не	3	7
22	в его	7	7
23	как бы	3	7
24	никогда не	9	7
25	в этих	3	7
26	и потому	2	7
27	могут быть	3	7
28	с ним	3	7
29	и к	2	6
30	все же	2	6
31	как и	6	6
32	в своем	2	6
33	все эти	4	6
34	но в	2	6
35	не могут	3	5
36	это не	3	5
37	и для	2	5
38	и все	10	5
39	по себе	2	5
40	том что	2	5
41	в том	5	5
42	человека в	11	5
43	от него	7	5
44	его не	2	4
45	а в	5	4
46	и на	2	4
47	даже и	2	4
48	отношение к	5	4
49	его в	2	4
50	так как	2	4
51	человеке и	5	3
52	и там	2	3
53	что в	4	3
54	хотя бы	3	3
55	и от	3	3
56	человека и	10	3
57	в романах	4	3
58	что и	2	3
59	у него	22	3
60	как к	2	3
61	к нему	3	3
62	лишь в	7	3
63	сказать что	2	3
64	чем в	2	2
65	уже в	2	2
66	не было	9	2
67	хотя и	2	2
68	жизни в	2	2
69	но он	7	2
70	в себе	3	2
71	что он	3	2
72	все что	3	2
73	и нет	2	2
74	только и	4	2
75	к ней	2	2
76	не все	2	2
77	то что	5	2
78	и ни	2	2
79	того чтобы	4	2
80	для того	3	2
81	он не	7	2
82	в другом	2	2
83	о том	3	2
