N	2gram	Propp_Isto_3	Formalny
1	т е	16	34
2	и в	22	24
3	в его	3	23
4	прежде всего	3	22
5	и не	12	20
6	так и	2	18
7	и пр	11	17
8	не может	4	16
9	точки зрения	2	16
10	в этом	17	15
11	в нем	9	14
12	может быть	11	14
13	таким образом	10	13
14	и т	16	12
15	в своем	2	11
16	не менее	5	11
17	как и	3	11
18	вовсе не	2	10
19	и ее	3	10
20	то же	6	10
21	в ней	2	10
22	а не	6	10
23	и его	4	10
24	и потому	2	9
25	в то	2	9
26	в свою	4	8
27	то что	7	8
28	как в	2	8
29	т д	15	8
30	и на	4	8
31	не в	4	8
32	и с	4	8
33	и от	3	7
34	не только	14	7
35	жизни и	2	7
36	но и	12	7
37	на самом	2	7
38	и все	3	6
39	и здесь	7	6
40	было бы	3	6
41	как таковой	2	6
42	в том	9	6
43	в этой	5	6
44	до сих	5	6
45	в пределах	4	6
46	она не	4	6
47	еще не	10	6
48	сих пор	5	6
49	в целом	3	6
50	а в	6	6
51	все эти	4	6
52	как это	4	6
53	у нас	4	5
54	при этом	2	5
55	только на	2	5
56	и др	2	5
57	со стороны	3	5
58	как мы	8	5
59	того что	5	5
60	с другой	7	5
61	но в	10	5
62	мы увидим	3	4
63	независимо от	2	4
64	в частности	5	4
65	никогда не	3	4
66	стороны и	3	4
67	и к	3	4
68	одной стороны	2	4
69	если бы	6	4
70	всяком случае	2	4
71	отношению к	2	4
72	быть и	3	4
73	так же	3	4
74	по отношению	2	4
75	в связи	3	4
76	что в	15	4
77	с одной	2	4
78	друг друга	6	4
79	во всяком	2	4
80	но не	7	3
81	всех этих	2	3
82	связи с	6	3
83	в них	6	3
84	в жизни	2	3
85	на все	2	3
86	что он	9	3
87	к тому	3	3
88	и как	3	3
89	но это	3	3
90	он не	5	3
91	если он	2	3
92	один из	5	3
93	все же	5	3
94	же в	2	3
95	отношение к	4	3
96	в особенности	2	3
97	не было	2	3
98	и даже	2	3
99	его в	3	3
100	целый ряд	3	3
101	они не	4	3
102	здесь не	3	3
103	вступает в	3	2
104	и более	2	2
105	же как	2	2
106	с тем	2	2
107	в другой	4	2
108	его и	4	2
109	это не	6	2
110	с этим	8	2
111	в одном	2	2
112	что было	2	2
113	вопрос о	2	2
114	указать на	2	2
115	все время	2	2
116	ни в	2	2
117	уже не	7	2
118	мы видели	13	2
119	но все	2	2
120	перейти к	2	2
121	одна из	2	2
122	только в	4	2
123	но есть	2	2
124	нам важно	2	2
125	к ней	4	2
126	в него	2	2
127	только не	2	2
128	не с	2	2
129	что и	9	2
130	вместе с	9	2
131	не дает	2	2
132	не могла	2	2
133	и вот	2	2
134	и что	2	2
135	его не	3	2
136	из этой	2	2
137	в работе	2	2
138	между тем	2	2
139	на его	3	2
140	ничего не	6	2
141	и это	2	2
142	на нее	3	2
143	большинстве случаев	2	2
