N	2gram	Medvedev_F_3	Sotsiolo
1	истории литературы	6	10
2	все это	7	7
3	в том	7	5
4	в этом	18	5
5	развития литературы	5	4
6	метод в	2	4
7	не в	12	3
8	для нас	3	3
9	и только	2	3
10	но ведь	4	3
11	в его	7	3
12	и в	27	3
13	не только	9	3
14	по отношению	3	2
15	еще не	6	2
16	было бы	6	2
17	только в	8	2
18	в конце	3	2
19	это и	2	2
20	таким образом	18	2
21	том что	4	2
22	то же	15	2
23	отношению к	3	2
24	то что	8	2
25	главным образом	2	2
26	может быть	25	2
27	за пределы	2	2
28	литературы и	3	2
29	в результате	5	2
30	и что	3	2
31	но и	10	2
32	дело не	2	2
33	очевидно что	2	2
34	в смысле	4	2
35	к которому	2	2
36	исторического развития	2	2
37	как бы	8	2
38	должна быть	3	2
39	конце концов	2	2
40	что в	8	2
