N	3gram	Voloshinov_1	Psycholo
1	для того чтобы	3	19
2	в том что	3	14
3	в самом деле	9	5
4	до сих пор	8	5
5	с другой стороны	5	5
6	в этом отношении	3	3
7	с самого начала	4	3
8	то же самое	3	3
9	на этот вопрос	3	3
10	можно было бы	2	3
11	можно сказать что	3	2
12	в конце концов	3	2
13	тех пор пока	2	2
14	одного и того	5	2
15	в отличие от	5	2
16	сводится к тому	2	2
17	и того же	5	2
18	так же как	2	2
19	на первый план	2	2
20	может быть и	3	2
21	с точки зрения	20	2
22	и той же	2	2
23	не может быть	13	2
24	самом деле если	2	2
25	вопрос о том	2	2
26	до тех пор	2	2
27	одной и той	2	2
28	в этом случае	3	2
