N	2gram	Potebnia_M_4	Problema
1	и в	23	30
2	то есть	34	21
3	то что	29	18
4	не только	10	18
5	том что	12	17
6	в этом	23	17
7	и даже	2	14
8	но и	11	13
9	таким образом	24	13
10	потому что	33	13
11	в том	23	12
12	в его	5	12
13	и не	18	12
14	а именно	4	12
15	о том	8	12
16	в своем	8	11
17	так что	5	11
18	в виде	2	10
19	для нас	14	10
20	точки зрения	4	10
21	сказать что	8	9
22	но в	8	9
23	и вообще	2	9
24	только в	15	9
25	и все	4	9
26	вовсе не	7	8
27	хотя и	5	8
28	с точки	3	8
29	никогда не	3	7
30	что он	4	7
31	у нас	2	7
32	как и	14	7
33	связи с	3	7
34	может быть	26	7
35	вместе с	6	7
36	так и	6	7
37	не в	11	7
38	с другой	2	6
39	можно сказать	4	6
40	уже не	3	6
41	и как	2	6
42	и для	2	6
43	как бы	5	6
44	в нем	7	6
45	что и	7	6
46	и что	7	6
47	а в	5	6
48	и его	2	6
49	и на	3	6
50	его в	4	6
51	при помощи	3	6
52	так как	14	6
53	не менее	5	5
54	с тем	7	5
55	что в	17	5
56	что у	3	5
57	в которой	6	5
58	тем не	4	5
59	огня и	2	5
60	в силу	7	5
61	так же	4	5
62	в самом	3	5
63	и их	3	5
64	и о	4	5
65	не может	11	5
66	а не	12	5
67	и у	2	5
68	и притом	2	5
69	и то	5	5
70	того как	6	5
71	и с	4	5
72	мы можем	10	5
73	человека из	2	4
74	но даже	2	4
75	по крайней	5	4
76	тогда когда	8	4
77	человека и	3	4
78	в смысле	3	4
79	об этом	2	4
80	говорится о	2	4
81	при этом	15	4
82	было бы	8	4
83	не так	2	4
84	крайней мере	5	4
85	и к	6	4
86	и вполне	2	4
87	нас в	2	4
88	даже и	3	4
89	в себе	14	4
90	в то	4	4
91	из этого	2	4
92	что от	2	3
93	в самой	2	3
94	именно в	3	3
95	еще более	2	3
96	точно так	2	3
97	не всегда	3	3
98	не что	2	3
99	все в	2	3
100	в ее	2	3
101	что иное	2	3
102	что его	2	3
103	в сравнении	4	3
104	тот же	2	3
105	указывает на	2	3
106	после того	2	3
107	только тогда	5	3
108	еще не	3	3
109	для того	6	3
110	обратить внимание	2	3
111	он не	2	3
112	и тем	4	3
113	иное как	2	3
114	бы не	3	3
115	того что	14	3
116	к нему	5	3
117	есть только	5	3
118	внимание на	5	3
119	в других	2	3
120	в ней	2	3
121	и другое	2	3
122	с ним	5	3
123	в одном	4	3
124	в виду	3	3
125	только для	2	2
126	я не	2	2
127	не могут	2	2
128	и более	4	2
129	уже и	2	2
130	но тем	2	2
131	и без	2	2
132	в них	3	2
133	хотя бы	4	2
134	как в	7	2
135	это не	7	2
136	уже в	5	2
137	один из	2	2
138	значение и	2	2
139	по себе	11	2
140	на то	7	2
141	к тому	3	2
142	то же	14	2
143	как мы	2	2
144	да и	4	2
145	мы и	2	2
146	не будет	3	2
147	равно как	2	2
148	и сама	2	2
149	в свою	2	2
150	кроме того	3	2
151	до сих	4	2
152	по поводу	4	2
153	в это	2	2
154	в данном	4	2
155	что не	6	2
156	мы имеем	4	2
157	на его	3	2
158	конечно не	2	2
159	всяком случае	3	2
160	в котором	4	2
161	отношению к	8	2
162	но уже	3	2
163	он все	2	2
164	проявляется в	2	2
165	и до	3	2
166	все что	2	2
167	данном случае	2	2
168	отношение к	2	2
169	вообще и	3	2
170	по отношению	10	2
171	этот образ	2	2
172	то и	4	2
173	и только	3	2
174	человеческого духа	6	2
175	все эти	3	2
176	и они	2	2
177	мы не	8	2
178	самом деле	3	2
179	именно на	2	2
180	того чтобы	4	2
181	в науке	3	2
182	в таком	4	2
183	можно было	2	2
184	во всяком	5	2
185	между тем	9	2
186	что только	2	2
187	тем что	10	2
188	человека а	2	2
189	в таких	2	2
190	из тех	2	2
191	тем как	2	2
192	есть в	5	2
193	еще до	3	2
194	в области	2	2
195	не то	5	2
196	таком случае	2	2
197	сих пор	4	2
