N	2gram	Tiupa_Narr_1	PoTuStor
1	может быть	15	17
2	и в	11	16
3	прежде всего	4	9
4	в этом	12	9
5	мы можем	2	9
6	и только	2	9
7	и его	10	8
8	и с	3	8
9	точки зрения	5	8
10	не может	8	8
11	с его	4	7
12	сказать что	2	7
13	не только	31	7
14	самом деле	3	6
15	для него	4	6
16	при этом	19	6
17	в чем	2	5
18	еще не	4	5
19	как бы	6	5
20	в нем	4	4
21	отнюдь не	2	4
22	но и	27	4
23	так и	5	4
24	хотя бы	2	4
25	и все	3	4
26	и не	23	4
27	как мы	2	4
28	и ее	3	4
29	можно сказать	5	4
30	и даже	2	4
31	с ними	2	4
32	и на	5	4
33	в этой	6	4
34	с ее	2	4
35	все что	2	4
36	только в	12	4
37	но в	7	4
38	в его	6	4
39	на две	2	3
40	в этих	2	3
41	что в	3	3
42	жизни и	6	3
43	вместе с	2	3
44	сих пор	2	3
45	матери и	4	3
46	в одном	4	3
47	к себе	4	3
48	и вот	2	3
49	и притом	2	3
50	в том	8	3
51	а в	13	3
52	том что	7	3
53	и как	3	3
54	то что	9	3
55	их в	3	3
56	только на	2	3
57	едва ли	3	3
58	как это	3	3
59	в области	2	3
60	во всяком	2	3
61	в конечном	3	3
62	до сих	2	3
63	между ними	2	3
64	всяком случае	2	3
65	не существует	3	2
66	не менее	3	2
67	один из	6	2
68	не будет	2	2
69	в частности	14	2
70	никогда не	4	2
71	что не	2	2
72	между собой	2	2
73	оно не	2	2
74	из этих	4	2
75	в жизни	3	2
76	то же	8	2
77	и через	2	2
78	сводится к	3	2
79	что он	3	2
80	мы не	3	2
81	и т.п	8	2
82	что на	4	2
83	что мы	2	2
84	у него	7	2
85	но зато	2	2
86	и для	2	2
87	как и	13	2
88	друг на	2	2
89	по своему	2	2
90	а на	2	2
91	он не	3	2
92	при всей	3	2
93	всех его	2	2
94	на друга	2	2
95	в начале	3	2
96	на протяжении	7	2
97	в пределах	2	2
98	о том	4	2
99	в самом	6	2
100	во сне	2	2
101	но как	3	2
102	в своей	5	2
103	и о	3	2
104	с ним	2	2
105	к ним	2	2
