N	2gram	Savitsky_P_1	Formalny
1	т е	3	32
2	и не	12	30
3	и в	14	27
4	может быть	5	25
5	не может	4	24
6	в этом	10	18
7	а не	2	17
8	точки зрения	3	16
9	и пр	5	15
10	в нем	3	15
11	то же	9	15
12	с точки	3	14
13	не в	5	12
14	если бы	4	12
15	в жизни	2	11
16	и т	3	11
17	но и	6	10
18	не только	17	9
19	что в	4	8
20	в пределах	8	8
21	как бы	4	8
22	отнюдь не	2	8
23	то что	4	8
24	как раз	2	8
25	только в	7	8
26	не менее	2	7
27	в том	9	7
28	же время	7	7
29	все это	2	7
30	потому что	3	7
31	в то	7	7
32	между тем	3	7
33	с тем	3	7
34	для них	2	7
35	в его	2	7
36	с другой	5	6
37	но в	9	6
38	было бы	6	6
39	хотя бы	8	6
40	в ней	6	5
41	но не	3	5
42	и потому	4	5
43	сводится к	3	5
44	прежде всего	3	4
45	в смысле	6	4
46	да и	2	4
47	и как	3	4
48	для того	3	4
49	со стороны	2	4
50	по себе	4	4
51	бы ни	2	4
52	в ее	2	4
53	том что	4	4
54	мы не	3	4
55	могут быть	3	4
56	творчества и	2	3
57	столь же	3	3
58	это не	3	3
59	для нас	2	3
60	того что	2	3
61	она есть	3	3
62	не о	2	3
63	и тем	2	3
64	в которых	5	3
65	никак не	2	3
66	и с	2	3
67	в них	2	3
68	во всех	2	3
69	время в	2	3
70	может и	2	3
71	в себе	3	3
72	в русскую	2	2
73	друг другу	2	2
74	в отношении	10	2
75	главным образом	2	2
76	в общем	2	2
77	в котором	4	2
78	е с	6	2
79	из них	2	2
80	в своем	4	2
81	отношения к	2	2
82	в россии	3	2
83	в полной	2	2
84	стороны и	2	2
85	говорить о	2	2
86	одна из	2	2
87	мы должны	4	2
88	сами по	3	2
89	так называемые	2	2
90	россии и	4	2
91	является в	2	2
92	и это	2	2
93	в области	11	2
94	в эту	2	2
