N	2gram	Kanaev_Sov_1	EvropaiE
1	и в	7	37
2	точки зрения	12	23
3	что в	2	21
4	не только	4	18
5	с точки	5	17
6	то же	3	15
7	и не	6	14
8	но в	3	14
9	в этом	7	12
10	в том	4	11
11	в области	3	11
12	отнюдь не	3	9
13	прежде всего	5	9
14	не может	17	9
15	в себе	3	9
16	было бы	3	8
17	с одной	2	8
18	как и	6	7
19	так как	4	7
20	может быть	12	6
21	как бы	4	6
22	и даже	2	6
23	не в	3	5
24	как мы	2	5
25	и по	2	5
26	в виде	2	5
27	и потому	3	5
28	то ни	2	4
29	вопрос о	4	4
30	или иной	2	4
31	в самом	2	4
32	для нас	3	4
33	мы не	9	4
34	и к	3	3
35	с другом	2	3
36	мы видели	4	3
37	мы можем	6	3
38	в свою	2	3
39	не дает	2	3
40	друг с	2	3
41	и мы	3	3
42	из них	4	3
43	всяком случае	2	3
44	в таком	2	3
45	в результате	6	3
46	во всяком	2	3
47	что все	2	2
48	не могут	2	2
49	а не	3	2
50	еще более	2	2
51	и во	2	2
52	с этим	2	2
53	и все	3	2
54	в одном	3	2
55	такой же	2	2
56	свою очередь	2	2
57	не можем	7	2
58	что это	2	2
59	в его	2	2
60	в развитии	4	2
61	жизни и	4	2
62	в некоторых	2	2
63	вместе с	4	2
64	что же	5	2
65	а в	4	2
66	таким образом	11	2
67	и что	2	2
68	и наконец	5	2
69	на этот	2	2
70	мы видим	2	2
71	могут быть	2	2
72	в этой	3	2
73	мы должны	4	2
74	между собой	3	2
