N	2gram	Medvedev_V_1	RusskieA
1	и в	26	36
2	не только	25	22
3	что в	10	19
4	том что	8	19
5	в том	15	17
6	т е	18	17
7	но и	10	16
8	во время	3	14
9	п в	3	13
10	в этом	26	12
11	это не	7	10
12	как и	7	10
13	и т	23	10
14	вместе с	7	10
15	об этом	9	9
16	т д	14	9
17	а в	3	9
18	с тем	3	8
19	у нас	2	8
20	из них	9	8
21	может быть	22	8
22	один из	5	8
23	и по	3	8
24	е в	2	8
25	о том	10	8
26	как это	12	8
27	что они	3	7
28	что и	3	7
29	так и	5	7
30	между тем	5	7
31	и не	19	6
32	так например	2	6
33	в них	4	6
34	таким образом	31	6
35	все это	10	6
36	то что	6	6
37	будто бы	2	6
38	все же	5	5
39	как бы	5	5
40	в течение	2	5
41	и у	2	5
42	с ними	4	5
43	в которых	3	5
44	тому что	6	4
45	из этих	7	4
46	к этому	9	4
47	к тому	4	4
48	по существу	3	4
49	одна из	4	4
50	после этого	2	4
51	еще не	2	4
52	связи с	4	4
53	вплоть до	2	4
54	следующим образом	3	4
55	и др	9	4
56	во всех	6	4
57	и их	3	4
58	в их	5	4
59	не может	17	4
60	в связи	3	4
61	мы имеем	3	4
62	того что	3	4
63	только в	7	4
64	не менее	2	3
65	начиная с	2	3
66	о чем	2	3
67	по этому	9	3
68	в качестве	11	3
69	в своем	8	3
70	он же	5	3
71	в одном	4	3
72	от них	2	3
73	и к	3	3
74	в целях	2	3
75	в основном	5	3
76	если в	2	3
77	приводит к	5	3
78	то же	10	3
79	пишет в	3	3
80	так же	3	3
81	их в	6	3
82	их и	4	3
83	точки зрения	3	3
84	как например	2	3
85	из приведенных	3	3
86	далеко не	2	3
87	в области	2	3
88	не было	7	2
89	всех этих	2	2
90	в частности	11	2
91	могут быть	5	2
92	но даже	3	2
93	что у	2	2
94	с этим	3	2
95	и потому	2	2
96	в каждом	2	2
97	в образе	2	2
98	главным образом	7	2
99	в различных	2	2
100	в нем	6	2
101	у него	6	2
102	в жизни	2	2
103	его от	2	2
104	и как	3	2
105	в силу	11	2
106	и непосредственно	2	2
107	но не	2	2
108	как известно	2	2
109	она не	3	2
110	только у	2	2
111	отнюдь не	3	2
112	когда он	3	2
113	например в	3	2
114	том же	6	2
115	в ней	2	2
116	в его	14	2
117	в целом	4	2
118	значит что	2	2
119	что она	2	2
120	этому поводу	7	2
121	в особенности	2	2
122	показывают что	3	2
123	между прочим	2	2
124	все эти	6	2
125	в году	6	2
126	а не	7	2
127	и для	2	2
128	мы наблюдаем	2	2
129	или в	3	2
130	в своих	2	2
131	этот вопрос	3	2
132	хотя и	2	2
133	но в	2	2
134	как он	2	2
