N	2gram	Medvedev_U_1	Hudozhes
1	и не	8	16
2	в том	2	15
3	и в	14	15
4	не только	10	15
5	в частности	3	13
6	может быть	6	13
7	но не	2	11
8	в этом	7	11
9	в себе	2	11
10	но и	4	10
11	то же	5	10
12	а не	10	10
13	в его	2	9
14	сводится к	2	8
15	с другой	4	7
16	в искусстве	6	7
17	в то	3	7
18	но в	3	7
19	с его	2	6
20	том что	2	6
21	не в	2	6
22	же время	3	6
23	не может	7	6
24	художественного творчества	5	5
25	могут быть	2	5
26	только в	2	5
27	в самом	2	5
28	то что	7	5
29	другой стороны	3	5
30	в их	4	5
31	не столько	2	4
32	прежде всего	8	4
33	для него	3	4
34	в своей	3	4
35	произведения искусства	3	4
36	и то	3	4
37	между тем	2	4
38	и т.д	3	4
39	эстетического объекта	6	4
40	художественного произведения	2	3
41	если бы	2	3
42	конечном счете	4	3
43	это не	3	3
44	этом смысле	2	3
45	что он	2	3
46	о чем	2	3
47	к области	2	3
48	как раз	2	3
49	в конечном	4	3
50	таким образом	2	3
51	как и	3	3
52	и для	2	3
53	не следует	3	3
54	не случайно	2	3
55	в художественном	5	3
56	в области	3	3
57	истории литературы	3	2
58	в противном	2	2
59	в сторону	2	2
60	искусства как	2	2
61	превращается в	2	2
62	не как	3	2
63	в итоге	2	2
64	по себе	2	2
65	говоря иначе	2	2
66	не все	2	2
67	художественное произведение	5	2
68	этого термина	2	2
69	в этой	4	2
70	противном случае	2	2
