N	2gram	Medvedev_V_1	Tvorches
1	и в	26	21
2	как бы	5	17
3	в то	6	15
4	в его	14	13
5	то же	10	13
6	что в	10	12
7	как и	7	12
8	же время	5	12
9	с его	3	11
10	том что	8	11
11	в романе	4	10
12	все это	10	10
13	он не	2	8
14	то что	6	8
15	у него	6	7
16	в том	15	7
17	не только	25	7
18	и не	19	7
19	в году	6	7
20	но в	2	7
21	он сам	2	6
22	что он	4	6
23	не менее	2	6
24	для него	8	6
25	в котором	3	6
26	человека в	2	6
27	а в	3	6
28	и его	6	6
29	в этом	26	6
30	о том	10	6
31	в творчестве	3	6
32	отнюдь не	3	5
33	вовсе не	3	5
34	а не	7	5
35	может быть	22	5
36	в этой	4	5
37	все же	5	5
38	таким образом	31	5
39	хотя бы	19	5
40	в своих	2	5
41	только в	7	5
42	в своем	8	4
43	человека и	3	4
44	прежде всего	13	4
45	и как	3	4
46	в целом	4	4
47	конечном счете	5	4
48	одним из	5	4
49	в конечном	7	4
50	один из	5	4
51	в своей	4	4
52	не может	17	4
53	это не	7	4
54	и от	3	4
55	в основном	5	4
56	в книге	2	3
57	никогда не	4	3
58	с другой	11	3
59	что все	3	3
60	своих героев	2	3
61	в каждом	2	3
62	действительной жизни	3	3
63	говорит о	7	3
64	это и	6	3
65	но не	2	3
66	в самом	4	3
67	даже в	5	3
68	в нем	6	3
69	и т	23	3
70	жизни и	3	3
71	не по	2	3
72	но и	10	3
73	ее в	4	3
74	достоевского и	2	3
75	в их	5	3
76	он говорит	5	3
77	того что	3	3
78	и даже	2	3
79	и по	3	3
80	вот почему	4	3
81	так же	3	3
82	в которой	2	3
83	хотя и	2	3
84	ту же	2	3
85	далеко не	2	3
86	может не	2	2
87	перед нами	4	2
88	на эти	2	2
89	а как	2	2
90	зависит от	2	2
91	в частности	11	2
92	в качестве	11	2
93	не столько	2	2
94	и мир	3	2
95	по крайней	2	2
96	у пушкина	2	2
97	в жизни	2	2
98	к этому	9	2
99	можно сказать	4	2
100	что и	3	2
101	крайней мере	2	2
102	что его	2	2
103	а затем	2	2
104	об этом	9	2
105	не в	6	2
106	одна из	4	2
107	было в	2	2
108	в нашей	4	2
109	мысль о	2	2
110	из них	9	2
111	действительности и	7	2
112	к тому	4	2
113	его произведений	2	2
114	некоторые из	3	2
115	в ней	2	2
116	же и	2	2
117	из себя	2	2
118	если в	2	2
119	когда он	3	2
120	вместе с	7	2
121	так и	5	2
122	приводит к	5	2
123	вслед за	2	2
124	во всей	2	2
125	и достоевский	2	2
126	что для	3	2
127	именно в	2	2
128	этой проблемы	3	2
129	что она	2	2
130	в комнату	2	2
131	что не	3	2
132	и у	2	2
133	и наконец	2	2
134	и он	2	2
135	только что	4	2
136	в творческой	4	2
137	или в	3	2
138	сказать что	5	2
139	могут быть	5	2
140	в себе	6	2
141	т п	9	2
142	при помощи	3	2
143	так сказать	2	2
144	в чем	2	2
145	говорит об	2	2
146	нет ни	2	2
147	значит что	2	2
148	в виду	4	2
