N	2gram	Kanaev_Sov_1	Myshleni
1	с помощью	4	42
2	и в	7	25
3	в развитии	4	24
4	в том	4	23
5	что в	2	17
6	таким образом	11	17
7	как и	6	15
8	в его	2	15
9	в этом	7	14
10	вместе с	4	14
11	может быть	12	13
12	в целом	4	13
13	между собой	3	13
14	так как	4	12
15	как бы	4	10
16	и не	6	10
17	и что	2	10
18	было бы	3	10
19	мы не	9	9
20	как мы	2	8
21	уже в	3	7
22	все эти	5	7
23	помощью которых	2	7
24	мы можем	6	7
25	в области	3	7
26	самого начала	3	6
27	не менее	2	6
28	с самого	3	6
29	не в	3	6
30	мы видели	4	6
31	не может	17	6
32	мы должны	4	6
33	зависимости от	4	6
34	со всеми	2	6
35	не только	4	6
36	все же	3	6
37	в отличие	2	6
38	точки зрения	12	6
39	все это	3	6
40	отличие от	2	6
41	что это	2	5
42	тем не	2	5
43	при этом	3	5
44	друг с	2	5
45	что она	3	5
46	на этой	3	5
47	с одной	2	5
48	ли оно	2	5
49	и по	2	5
50	в зависимости	4	5
51	и к	3	5
52	из которых	2	5
53	могут быть	2	5
54	этой стадии	2	5
55	в этой	3	5
56	и т.д	3	5
57	с другом	2	5
58	не могут	2	4
59	из этих	2	4
60	прежде всего	5	4
61	мы знаем	2	4
62	всяком случае	2	4
63	отнюдь не	3	4
64	из них	4	4
65	то и	2	4
66	а в	4	4
67	с этим	2	4
68	и все	3	4
69	еще не	3	4
70	приводит к	2	4
71	тем же	2	4
72	той же	2	4
73	во всяком	2	4
74	для развития	2	3
75	в свою	2	3
76	на этом	2	3
77	в самом	2	3
78	не можем	7	3
79	значение в	2	3
80	отличается от	3	3
81	его развития	3	3
82	в результате	6	3
83	их в	4	3
84	в живом	2	3
85	как он	3	3
86	видели что	3	3
87	мы видим	2	3
88	или иной	2	3
89	если мы	4	3
90	как известно	2	3
91	в виде	2	3
92	то же	3	2
93	мы называем	3	2
94	для нас	3	2
95	в один	2	2
96	развития в	2	2
97	но все	2	2
98	свою очередь	2	2
99	некоторое время	2	2
100	такого рода	2	2
101	в нем	3	2
102	экспериментальном материале	3	2
103	на его	2	2
104	на котором	2	2
105	и во	2	2
106	в одном	3	2
107	ясно что	3	2
108	конечно в	2	2
109	в таком	2	2
110	одна из	3	2
111	тот же	2	2
112	и потому	3	2
113	уже не	2	2
114	на этот	2	2
115	в себе	3	2
116	с необходимостью	3	2
