N	2gram	Propp_Russ_1	Marksizm
1	точки зрения	3	34
2	может быть	8	26
3	и не	6	26
4	не может	4	24
5	с точки	3	20
6	и в	36	19
7	таким образом	6	17
8	в этом	12	16
9	как бы	5	15
10	как мы	10	13
11	как и	10	12
12	и пр	2	12
13	так и	7	11
14	и для	2	11
15	связи с	4	11
16	в нем	2	10
17	только в	4	9
18	при этом	6	8
19	но и	16	8
20	не только	22	8
21	все же	5	8
22	то что	6	8
23	в каждом	2	7
24	в связи	4	7
25	все эти	2	7
26	так же	3	7
27	и те	3	7
28	но в	2	7
29	во всех	4	7
30	то же	3	7
31	а не	2	7
32	в том	17	6
33	в настоящее	3	6
34	и здесь	2	6
35	настоящее время	3	6
36	отнюдь не	2	6
37	в основном	3	6
38	в его	2	6
39	мы не	6	6
40	ничего не	3	6
41	до конца	2	5
42	и потому	2	5
43	к этому	4	5
44	входит в	4	5
45	этот вопрос	2	5
46	ничего общего	2	5
47	что в	19	4
48	не менее	3	4
49	в ней	2	4
50	направления в	2	4
51	а в	9	4
52	и на	10	4
53	с этим	2	4
54	еще не	4	4
55	не будем	3	4
56	как в	5	4
57	только на	3	4
58	переход от	2	4
59	далеко не	3	4
60	в какой	2	3
61	в целях	3	3
62	и как	2	3
63	в дальнейшем	2	3
64	в большинстве	2	3
65	из них	8	3
66	все это	6	3
67	не было	2	3
68	того что	4	3
69	не имеет	6	3
70	между тем	7	3
71	большинстве случаев	2	3
72	к другому	2	3
73	и к	3	3
74	этом случае	5	3
75	том что	19	3
76	мы должны	2	3
77	быть и	2	3
78	на самом	2	3
79	на этот	3	3
80	но все	3	3
81	между двумя	2	3
82	в области	3	3
83	независимо от	2	2
84	в частности	2	2
85	тому что	4	2
86	в своем	3	2
87	его к	2	2
88	тем не	3	2
89	связаны с	3	2
90	свою очередь	2	2
91	в свою	3	2
92	в эти	4	2
93	и др	4	2
94	подойти к	2	2
95	в нашем	2	2
96	на этой	2	2
97	и их	4	2
98	имеет место	2	2
99	и других	7	2
100	не просто	2	2
101	в своих	2	2
102	из этих	4	2
103	о том	8	2
104	как он	2	2
105	так как	15	2
106	и с	2	2
107	и более	2	2
108	для них	3	2
109	между собой	2	2
110	у нас	8	2
111	одна из	4	2
112	они и	2	2
113	в качестве	3	2
114	она не	2	2
115	к тому	4	2
116	этого слова	3	2
117	что и	7	2
118	какой степени	2	2
119	или в	2	2
120	мы можем	2	2
121	тем что	4	2
122	могут быть	2	2
123	там где	2	2
