N	2gram	Kanaev_Sov_1	Komedia
1	и в	7	22
2	и не	6	21
3	в том	4	12
4	таким образом	11	12
5	так как	4	11
6	в самом	2	9
7	вместе с	4	9
8	в его	2	8
9	в этом	7	8
10	при этом	3	7
11	в свою	2	7
12	то же	3	7
13	а в	4	7
14	в конце	3	7
15	ясно что	3	6
16	свою очередь	2	6
17	еще не	3	6
18	может быть	12	6
19	самом деле	2	6
20	и что	2	6
21	не менее	2	5
22	что в	2	5
23	прежде всего	5	5
24	не только	4	5
25	из них	4	5
26	все это	3	5
27	но в	3	5
28	с самого	3	4
29	самого начала	3	4
30	но все	2	4
31	у него	2	4
32	отнюдь не	3	4
33	между собой	3	4
34	нет и	4	4
35	все же	3	4
36	не в	3	4
37	не дает	2	4
38	что она	3	4
39	с помощью	4	4
40	а не	3	4
41	точки зрения	12	4
42	в себе	3	4
43	то ни	2	3
44	с этим	2	3
45	в нем	3	3
46	и к	3	3
47	тем не	2	3
48	как и	6	3
49	в этой	3	3
50	было бы	3	3
51	и мы	3	3
52	на этот	2	3
53	как бы	4	3
54	в целом	4	3
55	приводит к	2	3
56	не может	17	3
57	с одной	2	3
58	с точки	5	3
59	тем же	2	3
60	и даже	2	3
61	их в	4	3
62	мы можем	6	3
63	во всяком	2	3
64	теперь же	2	3
65	говорить о	2	3
66	же самое	2	3
67	как он	3	3
68	в которой	2	3
69	ничего не	6	3
70	всяком случае	2	3
71	уже в	3	2
72	возможность и	2	2
73	это не	4	2
74	и все	3	2
75	в одном	3	2
76	не могут	2	2
77	если мы	4	2
78	мы знаем	2	2
79	отличие от	2	2
80	а на	2	2
81	в и	2	2
82	тот же	2	2
83	совершенно не	2	2
84	на его	2	2
85	если же	2	2
86	только один	2	2
87	в развитии	4	2
88	как мы	2	2
89	по мнению	2	2
90	мы не	9	2
91	из которых	2	2
92	роль в	2	2
93	в таком	2	2
94	в результате	6	2
95	и во	2	2
96	в области	3	2
