N	3gram	Medvedev_V_1	Myshleni
1	для того чтобы	3	14
2	по отношению к	7	12
3	в том что	5	11
4	можно сказать что	4	5
5	в этом отношении	13	5
6	в другом месте	2	4
7	о том что	3	4
8	уже по одному	2	4
9	этой точки зрения	2	4
10	подобно тому как	2	4
11	с одной стороны	2	3
12	можно было бы	2	3
13	не только не	2	3
14	не может быть	8	3
15	и в другом	2	2
16	о том как	3	2
17	и не может	2	2
18	с другой стороны	8	2
19	в зависимости от	5	2
20	таким образом в	2	2
21	вместе с тем	3	2
22	хотя бы в	3	2
23	от того что	2	2
