N	2gram	Vygotskiy__4	SlovoVZh
1	не может	6	16
2	точки зрения	24	14
3	может быть	12	14
4	и его	5	13
5	как бы	7	13
6	таким образом	25	12
7	и в	20	12
8	в нашем	4	11
9	и не	8	10
10	если бы	5	9
11	так как	10	9
12	прежде всего	2	8
13	для нас	4	7
14	сказать что	6	7
15	в нем	2	6
16	все время	4	6
17	в процессе	27	6
18	при этом	12	6
19	с помощью	31	6
20	в том	42	6
21	только в	10	6
22	слова и	5	6
23	в ней	2	6
24	то что	15	5
25	должна быть	2	5
26	никогда не	5	5
27	а не	7	5
28	то же	16	5
29	как и	9	5
30	том что	35	5
31	отнюдь не	3	5
32	как в	5	5
33	что мы	7	5
34	но в	3	5
35	в виду	3	5
36	и к	5	4
37	все же	5	4
38	так и	5	4
39	от того	3	4
40	с другой	12	4
41	зависимости от	2	4
42	не в	4	4
43	в этом	24	4
44	и на	6	4
45	его в	6	4
46	в самом	6	4
47	к нему	2	4
48	и является	3	4
49	не только	15	4
50	и более	7	3
51	находит свое	2	3
52	не менее	3	3
53	когда он	3	3
54	в своей	7	3
55	все эти	5	3
56	ясно что	2	3
57	этой точки	4	3
58	слово в	6	3
59	но и	9	3
60	того что	10	3
61	ни в	3	3
62	так же	11	3
63	самом деле	7	3
64	формы и	3	3
65	и с	4	3
66	о том	5	3
67	в каком	2	3
68	в себе	10	3
69	для него	2	3
70	еще не	2	3
71	только на	2	3
72	и для	4	3
73	здесь не	2	3
74	но для	2	3
75	между тем	9	3
76	как только	2	2
77	место в	2	2
78	уже в	6	2
79	с этой	4	2
80	какой степени	2	2
81	что и	9	2
82	в настоящее	2	2
83	что в	19	2
84	на все	3	2
85	данном случае	2	2
86	вместе с	8	2
87	в этих	3	2
88	между собой	5	2
89	в своем	4	2
90	в отношении	10	2
91	в какой	3	2
92	другой стороны	9	2
93	что слово	2	2
94	это не	5	2
95	мы имеем	2	2
96	и другие	9	2
97	тому же	6	2
98	тогда когда	8	2
99	с одной	9	2
100	к этому	4	2
101	находит в	2	2
102	те же	6	2
103	его к	4	2
104	и что	8	2
105	едва ли	2	2
106	не есть	2	2
107	словом и	4	2
108	с точки	11	2
109	и здесь	2	2
110	же самое	7	2
111	стороны и	2	2
112	и те	4	2
113	для других	2	2
114	такой же	2	2
115	в данном	2	2
116	и то	10	2
117	тем как	3	2
118	самое слово	3	2
119	мы можем	5	2
120	но не	3	2
121	могут быть	7	2
122	но что	3	2
123	одно и	6	2
124	со словом	2	2
125	одной стороны	9	2
126	настоящее время	2	2
127	может стать	2	2
128	мы в	2	2
129	этого положения	6	2
130	на один	4	2
131	как уже	4	2
132	которые мы	3	2
133	в чем	3	2
134	как это	9	2
135	в условиях	3	2
136	в его	11	2
137	из него	2	2
138	между ними	4	2
