N	2gram	Bakhtin_Fr_7	Russkaja
1	не может	3	22
2	и не	7	19
3	в том	11	17
4	в этом	15	17
5	и в	41	14
6	то что	8	13
7	таким образом	19	11
8	то же	13	11
9	точки зрения	5	11
10	же время	9	10
11	но и	9	10
12	в то	10	10
13	том что	4	9
14	не только	5	9
15	в себе	11	9
16	с точки	3	9
17	может быть	4	9
18	во всяком	2	9
19	прежде всего	11	8
20	к тому	2	7
21	в данном	2	7
22	о том	6	7
23	и с	4	7
24	на самом	2	6
25	что он	3	6
26	и к	5	6
27	для него	6	6
28	для всех	2	6
29	все это	10	6
30	в своем	9	6
31	и для	5	6
32	и на	4	5
33	при этом	3	5
34	было бы	4	5
35	в своей	3	5
36	он не	4	5
37	никогда не	2	5
38	в нем	7	5
39	во всех	3	5
40	по существу	8	5
41	из которых	2	5
42	а в	5	5
43	потому что	5	5
44	только в	6	5
45	что в	9	4
46	в мире	3	4
47	как и	14	4
48	более или	2	4
49	все что	4	4
50	в другое	5	4
51	как бы	7	4
52	жизни и	3	4
53	вместе с	5	4
54	или менее	2	4
55	в их	3	4
56	на земле	4	4
57	не в	9	4
58	можно было	3	4
59	и то	2	4
60	в этой	13	4
61	в его	12	4
62	которой он	2	4
63	и т.д	2	4
64	его в	3	4
65	так как	3	4
66	что это	4	3
67	на том	2	3
68	именно в	2	3
69	в большинстве	2	3
70	в конце	8	3
71	что все	2	3
72	а следовательно	2	3
73	таким же	3	3
74	и как	2	3
75	должно быть	4	3
76	в качестве	9	3
77	еще не	2	3
78	несмотря на	3	3
79	одной из	2	3
80	и потому	3	3
81	что и	5	3
82	не есть	2	3
83	из них	3	3
84	все они	6	3
85	не было	3	3
86	в значительной	2	3
87	того что	2	3
88	и по	3	3
89	или в	2	3
90	тем что	3	3
91	и во	2	3
92	о котором	2	3
93	конце концов	4	3
94	одна из	4	3
95	место в	4	2
96	и есть	3	2
97	у него	6	2
98	по этому	3	2
99	не подлежит	3	2
100	и от	8	2
101	с этим	2	2
102	это в	3	2
103	том и	2	2
104	ни в	6	2
105	уже не	2	2
106	следовательно и	2	2
107	из всех	2	2
108	но это	3	2
109	есть и	3	2
110	вся эта	2	2
111	проявляется в	3	2
112	за то	3	2
113	в ней	5	2
114	на этой	4	2
115	благодаря этому	2	2
116	время в	2	2
117	весьма часто	2	2
118	целый ряд	4	2
119	по отношению	2	2
120	в течение	2	2
121	все эти	13	2
122	не просто	2	2
123	и вот	2	2
124	только на	2	2
125	тем самым	3	2
126	а не	2	2
127	и наконец	4	2
128	к нему	5	2
129	так же	5	2
130	и те	3	2
131	на которой	2	2
132	в результате	2	2
133	их в	2	2
134	мы уже	12	2
135	во время	3	2
136	в этих	2	2
137	большинстве случаев	2	2
138	с ним	2	2
139	в области	2	2
140	но в	8	2
