N	2gram	Vinokur_St_2	Istorich
1	и в	29	22
2	в этом	21	17
3	и т	9	16
4	т е	10	16
5	т д	6	15
6	что в	19	15
7	не только	19	14
8	но и	19	12
9	и не	9	12
10	и пр	8	11
11	может быть	2	11
12	в этих	3	11
13	таким образом	10	10
14	но в	8	10
15	что он	13	9
16	в нем	4	9
17	что и	2	9
18	вместе с	7	9
19	в том	27	9
20	что они	2	8
21	с этим	3	8
22	том что	27	8
23	другой стороны	3	7
24	с другой	4	7
25	к этому	4	7
26	но не	3	7
27	пребывания в	2	7
28	то что	11	7
29	из них	3	7
30	и здесь	3	7
31	так как	2	7
32	там где	2	7
33	связи с	4	6
34	в них	2	6
35	связь с	2	6
36	то же	2	6
37	в течение	6	6
38	а не	5	6
39	во время	2	6
40	ничего не	4	6
41	если бы	2	6
42	не менее	3	5
43	в частности	4	5
44	тем не	2	5
45	так что	3	5
46	до сих	6	5
47	все же	6	5
48	он не	9	5
49	того что	5	5
50	сих пор	5	5
51	у меня	3	5
52	в некоторых	2	5
53	в этой	2	5
54	и другие	2	4
55	как это	2	4
56	у нас	3	4
57	не в	4	4
58	только в	2	4
59	они не	2	4
60	одним из	6	4
61	что на	3	4
62	и его	6	4
63	и на	6	4
64	в данном	2	4
65	не может	2	4
66	но он	3	4
67	тем что	3	4
68	все эти	2	4
69	и с	4	4
70	я не	7	3
71	что у	4	3
72	в одной	2	3
73	раньше чем	4	3
74	могло быть	3	3
75	прежде всего	5	3
76	к тому	10	3
77	и к	4	3
78	а затем	2	3
79	как и	2	3
80	и как	2	3
81	но это	3	3
82	было бы	5	3
83	на его	2	3
84	между прочим	12	3
85	в его	13	3
86	никогда не	3	3
87	ее в	2	3
88	со стороны	2	3
89	должен был	4	3
90	на нее	3	3
91	так же	3	3
92	его не	3	3
93	сказать что	2	3
94	потому что	9	3
95	в русской	5	3
96	о том	17	3
97	его в	2	3
98	при помощи	4	3
99	одном из	3	3
100	не было	3	2
101	с тем	7	2
102	только не	2	2
103	и др	2	2
104	что было	2	2
105	в одном	6	2
106	вовсе не	6	2
107	вопрос о	6	2
108	в тех	2	2
109	во всяком	3	2
110	ни в	3	2
111	тому же	3	2
112	но все	7	2
113	и более	2	2
114	но они	2	2
115	как в	3	2
116	при этом	2	2
117	в качестве	5	2
118	говорят что	2	2
119	не дает	2	2
120	после того	4	2
121	это еще	2	2
122	на себя	3	2
123	совершенно не	2	2
124	он по	2	2
125	например в	3	2
126	не мог	3	2
127	и о	4	2
128	за него	2	2
129	же как	3	2
130	хотя и	4	2
131	в ней	7	2
132	и потому	2	2
133	и он	3	2
134	всяком случае	3	2
135	в котором	7	2
136	даже в	2	2
137	не имеет	2	2
138	должно было	3	2
139	и это	2	2
140	связан с	3	2
141	так и	9	2
142	в своем	9	2
143	в особенности	2	2
144	не раз	2	2
145	если не	2	2
146	еще более	4	2
147	на самом	3	2
148	этот вопрос	2	2
149	из этой	2	2
150	и что	6	2
151	и даже	3	2
152	между тем	5	2
153	точки зрения	5	2
154	в другом	4	2
155	в то	2	2
156	утверждать что	2	2
157	на это	2	2
158	а также	2	2
