N	2gram	Vinokur_St_3	Hudozhes
1	в качестве	4	19
2	то есть	2	18
3	состоит в	4	16
4	и не	10	16
5	в том	20	15
6	и в	25	15
7	не только	12	15
8	может быть	19	13
9	а в	6	12
10	и его	3	12
11	но не	2	11
12	в этом	24	11
13	как бы	6	10
14	но и	9	10
15	так и	5	10
16	то же	5	10
17	а не	5	10
18	такого рода	5	9
19	в его	12	9
20	точки зрения	7	9
21	в рамках	2	8
22	своего рода	3	8
23	с другой	5	7
24	или иной	2	7
25	в то	7	7
26	но в	5	7
27	я и	3	7
28	с его	3	6
29	что в	19	6
30	том что	15	6
31	не в	6	6
32	же время	3	6
33	отношение к	4	6
34	не может	7	6
35	могут быть	2	5
36	можно сказать	4	5
37	а также	4	5
38	ни в	5	5
39	только в	6	5
40	в самом	2	5
41	того что	5	5
42	с ее	2	5
43	то что	12	5
44	другой стороны	5	5
45	в их	3	5
46	уже не	3	5
47	место в	6	4
48	в этих	11	4
49	не столько	2	4
50	прежде всего	10	4
51	к тому	2	4
52	в другом	3	4
53	для него	3	4
54	еще не	2	4
55	например в	4	4
56	он не	5	4
57	и тем	4	4
58	в своей	4	4
59	со стороны	3	4
60	в форме	2	4
61	сказать что	4	4
62	между тем	6	4
63	мы имеем	5	4
64	говорить о	3	4
65	к которому	3	4
66	не менее	2	3
67	если бы	4	3
68	произведения как	2	3
69	в отношении	2	3
70	это не	7	3
71	этом смысле	4	3
72	говорит и	2	3
73	была бы	4	3
74	что он	19	3
75	в стихотворении	3	3
76	и к	4	3
77	тем не	2	3
78	того же	2	3
79	в свою	2	3
80	как раз	3	3
81	к нему	4	3
82	в целом	4	3
83	не на	2	3
84	таким образом	10	3
85	как и	4	3
86	лишь в	4	3
87	и что	3	3
88	во втором	2	3
89	с точки	4	3
90	и для	4	3
91	в рассказе	3	3
92	потому что	5	3
93	но он	3	3
94	и ее	2	3
95	в русской	6	3
96	в которой	4	3
97	в области	6	3
98	в виду	2	3
99	на этом	3	2
100	речь идет	2	2
101	и более	3	2
102	пушкина что	4	2
103	себя и	2	2
104	тому что	3	2
105	в них	5	2
106	не как	2	2
107	этих двух	2	2
108	вовсе не	2	2
109	при всей	2	2
110	об этом	5	2
111	тем более	3	2
112	есть в	2	2
113	одна из	2	2
114	времени и	2	2
115	одной стороны	3	2
116	говорит что	5	2
117	несмотря на	3	2
118	во всех	2	2
119	одной из	2	2
120	на почве	5	2
121	не является	3	2
122	и др	4	2
123	дело не	2	2
124	как в	6	2
125	слова как	2	2
126	а с	2	2
127	с одной	2	2
128	все эти	3	2
129	в году	5	2
130	этого термина	2	2
131	для того	2	2
132	из которых	4	2
133	и по	2	2
134	или в	2	2
135	я думаю	2	2
136	и на	6	2
137	у него	9	2
138	одно из	2	2
139	но как	2	2
140	начиная с	2	2
141	в этой	14	2
142	о том	8	2
143	жизни но	2	2
144	в европейской	2	2
145	и это	5	2
146	классицизма в	2	2
147	из этого	4	2
148	в чем	4	2
